Artist,Title,Mood
Usher,There Goes My Baby,relaxed
Da'Ville,On My Mind,relaxed
Rihanna,Rockstar 101 ,relaxed
J. Holiday,Bed,relaxed
Morgan Heritage,Don't Haffi Dread,angry
Whitney Houston,My Love Is Your Love,happy
Serani,Study People,angry
Austra,Spellwork,angry
Coro,Can't Let You Go,happy
Beenie Man,Slam,relaxed
Deitrick Haddon,Love Him Like I Do ,happy
The Jackson 5,ABC,relaxed
Maysa,The Lady In My Life,happy
Ryan Shaw,We Got Love,happy
The Paris Sisters,I Love How You Love Me,happy
New Direction,I Came To Jesus,sad
Kurt Carr & The Kurt Carr Singers,God Great God,happy
Kenny Lattimore,And I Love Her,happy
Jordin Sparks,Battlefield,angry
Spoon,You Got Yr. Cherry Bomb,angry
Tarralyn Ramsey,Peace Of God,relaxed
Tyrese,One,relaxed
Dr. Dog,Where'd All The Time Go?,sad
Tarralyn Ramsey,Unconditional Love,happy
Kool & The Gang,Steppin' Into Love,happy
Anders Osborne,Darkness At The Bottom,sad
The Rolling Stones,Gimme Shelter,angry
The Rolling Stones,Happy,happy
Bobby Bare,Detroit City,relaxed
Gene Watson,Got No Reason Now For Goin' Home,relaxed
George Strait,El Rey,sad
Playing For Change,Don't Worry,relaxed
The Rolling Stones,Melody,relaxed
Stars,Fixed,sad
Glasser,Home,relaxed
Betty Wright,Where Is The Love,happy
Mavis Staples,You Are Not Alone,angry
The Rolling Stones,Not Fade Away,happy
The Beach Boys,God Only Knows,happy
Korn,Blind,sad
Megadeth,Angry Again,angry
Ra,Do You Call My Name,angry
Avenged Sevenfold,Nightmare,angry
Mudvayne,Scream With Me,angry
Static-X,Dirthouse,sad
Metallica,Cyanide,sad
Green Day,Longview,sad
Nirvana,Rape Me,angry
Marilyn Manson,Sweet Dreams ,angry
Staind,Mudshovel,angry
Pantera,This Love,happy
Chevelle,Send The Pain Below,angry
The Red Hot Chili Peppers,Scar Tissue,sad
Metallica,Harvester Of Sorrow,angry
Guns N' Roses,Civil War,angry
Shadows Fall,King Of Nothing,angry
Comeback Kid,Do Yourself A Favor,sad
Rob Zombie,Superbeast,sad
Pearl Jam,Why Go,relaxed
Scorpions,Rock You Like A Hurricane,angry
Nine Inch Nails,Terrible Lie,angry
Stone Temple Pilots,Wicked Garden,angry
Smashing Pumpkins,Bullet With Butterfly Wings,angry
Nirvana,Come As You Are,angry
Black Sabbath,War Pigs,angry
Korn,Everything I've Known,angry
Disturbed,Indestructible,angry
Three Days Grace,Riot,angry
Dierks Bentley,Free And Easy ,relaxed
Kenny Chesney,When The Sun Goes Down ,relaxed
Zac Brown Band,Free,relaxed
Frankie Ballard,Tell Me You Get Lonely,sad
Faith Hill,The Way You Love Me,happy
Blake Shelton,Home,relaxed
Josh Turner,Your Man,relaxed
Alice Cooper,Welcome To My Nightmare,angry
Led Zeppelin,Rock And Roll,sad
Joan Jett & The Blackhearts,I Hate Myself For Loving You,angry
Jonny Lang,Lie To Me,angry
The Doors,Love Her Madly,happy
Eric Clapton,Cocaine,angry
Robert Cray,Smoking Gun,angry
Jefferson Airplane,Somebody To Love,happy
Supertramp,Bloody Well Right,angry
Ted Nugent,Cat Scratch Fever,sad
Alice Cooper,No More Mr. Nice Guy,sad
Neil Young,Heart Of Gold,happy
Boston,Let Me Take You Home Tonight,relaxed
Scorpions,Still Loving You,happy
The Doors,Light My Fire,angry
Night Ranger,Don't Tell Me You Love Me,happy
Lynyrd Skynyrd,That Smell,sad
Pat Benatar,Hit Me With Your Best Shot,angry
Guns N' Roses,Paradise City,relaxed
Yes,I've Seen All Good People,relaxed
Motley Crue,Home Sweet Home,relaxed
Lynyrd Skynyrd,You Got That Right,angry
Bad Company,Feel Like Makin' Love,happy
Jethro Tull,Locomotive Breath,sad
Bad Company,Can't Get Enough,happy
The Who,Love Reign O'er Me,relaxed
Billy Squier,In The Dark,sad
Pink Floyd,One Of These Days,sad
Van Halen,Runnin' With The Devil,angry
David Bowie,Fame,happy
Three Plus,Undercover Lover,relaxed
Three Plus,Honey Baby,relaxed
Three Plus,Two Person Party,relaxed
Bob Marley & The Wailers,Easy Skanking,relaxed
Gregory Isaacs,Private Beach Party,happy
Fiji,Anything You Want,relaxed
Ooklah The Moc,Hell Fire,angry
Shaggy,Angel ,relaxed
Sean Paul,I'm Still In Love With You ,happy
The Beach Boys,Good Vibrations,relaxed
Orleans,Still The One,happy
The Babys,Every Time I Think Of You,happy
R.E.M.,The One I Love,angry
The Cure,Lovesong,happy
Annie Lennox,Walking On Broken Glass,sad
Soft Cell,Tainted Love,happy
Lenny Kravitz,Again,happy
Cyndi Lauper,Time After Time,sad
Falco,Rock Me Amadeus,angry
The Fixx,Saved By Zero,happy
Gino Vannelli,Living Inside Myself,angry
Aretha Franklin,Respect,relaxed
Melissa Etheridge,I'm The Only One,angry
Fleetwood Mac,Go Your Own Way,sad
Andy Kim,Rock Me Gently,relaxed
The Bee Gees,Lonely Days,sad
Rod Stewart,Passion,happy
U2,Pride ,happy
Janet Jackson,Nasty,sad
Howard Jones,What Is Love?,happy
Sheryl Crow,A Change Would Do You Good,relaxed
The Thompson Twins,King For A Day,happy
.38 Special,Second Chance,happy
Depeche Mode,Strangelove,angry
Kajagoogoo,Too Shy,sad
The Flying Lizards,Money ,happy
Kenny Loggins,Danger Zone,angry
Eddie Money,Think I'm In Love,happy
Donna Summer,Bad Girls,sad
John Cougar Mellencamp,Authority Song,angry
Aerosmith,Janie's Got A Gun,angry
The Motels,Only The Lonely,sad
Edwin Starr,War,angry
Tesla,Love Song,happy
Andrew Gold,Lonely Boy,sad
Madonna,Angel,relaxed
Duran Duran,I Don't Want Your Love,happy
Alias,More Than Words Can Say,relaxed
Mr. Mister,Is It Love,happy
Right Said Fred,I'm Too Sexy,happy
John Mellencamp,Lonely Ol' Night,sad
Kenny Loggins,Whenever I Call You Friend ,happy
The Pointer Sisters,Fire,angry
Duran Duran,A View To A Kill,angry
Seals & Crofts,Diamond Girl,relaxed
April Wine,Just Between You And Me,happy
Paul McCartney & Wings,My Love,happy
Nelly Furtado,I'm Like A Bird,relaxed
The Beatles,Can't Buy Me Love,happy
Lita Ford,Kiss Me Deadly,happy
The Trammps,Disco Inferno,angry
Killswitch Engage,This Fire Burns,angry
Atreyu,Lip Gloss And Black,angry
Alkaline Trio,Burn,angry
Demon Hunter,Lifewar,angry
Hot Hot Heat,Bandages,sad
Buzzcocks,Love You More,happy
Social Distortion,Ring Of Fire,angry
Streetlight Manifesto,Sick And Sad,sad
Reel Big Fish,The Fire,angry
Limp Bizkit,Take A Look Around,angry
Rancid,The Bravest Kids,angry
The Clash,White Riot,angry
Me First & The Gimme Gimmes,Over The Rainbow,relaxed
The Winans,Uphold Me,happy
Donnie McClurkin,We Fall Down,sad
Tonex,God Has Not 4got,happy
Jonathan Nelson,My Name Is Victory ,happy
Tamela Mann,Joy Of The Lord,happy
CeCe Winans,Waging War,angry
Juanita Bynum,Peace,relaxed
Vanessa Bell Armstrong,Desire Of My Heart,happy
B.B. King,The Thrill Is Gone,happy
The Art Of Noise,Moments In Love,happy
Norah Jones,Chasing Pirates,sad
Sade,Never As Good As The First Time,relaxed
Chaka Khan,Through The Fire,angry
Alicia Keys,Fallin',happy
Sade,I Couldn't Love You More,happy
Sting,It's Probably Me,angry
Go West,What You Won't Do For Love,happy
Robin Thicke,Lost Without U,happy
Sade,No Ordinary Love,happy
Luther Vandross,Any Love,happy
Sade,Kiss Of Life,happy
Jason Mraz,Lucky ,happy
Kenny G,What A Wonderful World ,relaxed
Bobby Caldwell,What You Won't Do For Love,happy
Dave Matthews Band,Crash Into Me,angry
Michael Buble,Home,relaxed
Anita Baker,Same Ole Love ,happy
Enya,Caribbean Blue,relaxed
Natalie Cole,This Will Be,happy
Avenged Sevenfold,Scream,angry
Metallica,Holier Than Thou,sad
Hail The Villain,Take Back The Fear,angry
Sick Puppies,Street Fighter ,angry
Flyleaf,I'm So Sick,sad
Nirvana,You Know You're Right,angry
Three Days Grace,Home,relaxed
Three Days Grace,Animal I Have Become,angry
Breaking Benjamin,Until The End,angry
Disturbed,The Game,angry
Metallica,Seek And Destroy,angry
Red,Death Of Me,sad
The Prodigy,Breathe,angry
Smashing Pumpkins,Disarm,angry
Soundgarden,Rusty Cage,sad
Silverchair,Tomorrow,sad
Rage Against The Machine,Bombtrack,angry
Taio Cruz,Dirty Picture ,sad
Baby Bash,That's How I Go ,relaxed
Baby Bash,Cyclone ,angry
Baby Bash,Fantasy Girl ,relaxed
Ivory Joe Hunter,Since I Met You Baby,happy
Whitney Houston,I Will Always Love You,happy
Shop Boyz,Party Like A Rock Star,happy
Lady Gaga,LoveGame,happy
Mary J. Blige,Real Love,happy
Chamillionaire,Ridin ,sad
Keith Sweat,Nobody ,happy
Juvenile,Slow Motion ,sad
Mary Wells,What Love Has Joined Together,happy
Fidel Rueda,Me Encantaria,sad
Palomo,No Me Conoces Aun,sad
Los Pikadientes De Caborca,La Cumbia Del Rio,sad
K-Paz De La Sierra,Volvere,sad
Chalino Sanchez,Cuatro Espadas,sad
Banda El Recodo,Pena Tras Pena,sad
Los Cadetes De Linares,Las Tres Tumbas,sad
Los Temerarios,Al Otro Lado Del Sol,sad
Chalino Sanchez,Baraja De Oro ,sad
Eric Church,Love Your Love The Most,happy
Tim McGraw,It's Your Love ,happy
Temple Of The Dog,Hunger Strike,sad
Eric Clapton,Cocaine,angry
Soul For Real,Candy Rain,relaxed
Tank,Sex Music,happy
Matt Redman,This Is How We Know,happy
Big Daddy Weave,Just The Way I Am,happy
Point Of Grace,All The World,relaxed
Steven Curtis Chapman,All About Love,happy
Chris Tomlin,Our God,happy
Steven Curtis Chapman,Not Home Yet,relaxed
Digital Underground,Kiss You Back,happy
Mark Ronson,Bang Bang Bang ,sad
Sting,I Hung My Head,sad
Carrie Rodriguez,Big Love,happy
The Secret Sisters,The One I Love Is Gone,relaxed
Shelby Lynne,Family Tree,sad
Ra Ra Riot,Foolish,sad
Nitin Sawhney,Sunset,relaxed
Sidewalk Prophets,You Can Have Me,happy
Rebecca St. James,Song Of Love,happy
Aaron Shust,My Savior My God,happy
By The Tree,Beautiful One,happy
Josh Wilson,Before The Morning,angry
Aaron Shust,Give Me Words To Speak,relaxed
Jeremy Camp,Take You Back,angry
Jeremy Camp,Beautiful One,happy
Rich Mullins,Awesome God,happy
City On A Hill,God Of Wonders,relaxed
"Phillips, Craig & Dean",Friend Of God,happy
Third Day,I've Always Loved You,happy
Building 429,I Believe ,happy
DecembeRadio,Love Can,happy
Avalon,Testify To Love,relaxed
Sonicflood,I Could Sing Of Your Love Forever,happy
Nichole Nordeman,Time After Time ,sad
Marco Antonio Solis,Si No Te Hubieras Ido,sad
La Sonora Dinamita,Que Nadie Sepa Mi Sufrir,sad
Grupo Bryndis,Por Estar Pensando En Ti,sad
Juan Gabriel,Pero Que Necesidad,sad
Bronco,Oficialmente Loco,sad
Los Pasteles Verdes,El Solitario,sad
Ana Barbara,Bandido,sad
Joan Sebastian,Rumores ,sad
Jose Jose,Lo Dudo,sad
Los Mier,Te Amo,sad
Camilo Sesto,Tarde O Temprano,sad
Marco Antonio Solis,Amor En Silencio,sad
Vicente Fernandez,El Rey,sad
Los Humildes,Vestido Mojado,sad
Los Bukis,Que Mala,sad
Joan Sebastian,El Perdedor,sad
La Mafia,Me Estoy Enamorando,sad
Banda Machos,Al Gato Y Al Raton,sad
Joan Sebastian,Sentimental,sad
Palomo,Baraja De Oro,sad
The Bee Gees,Night Fever,sad
Deniece Williams,It's Gonna Take A Miracle,happy
Wings,Silly Love Songs,happy
Faith Hill,This Kiss,happy
Daryl Hall & John Oates,Kiss On My List,happy
Celine Dion,My Heart Will Go On,happy
Cher,Believe,happy
Backstreet Boys,I Want It That Way,angry
Lil Wayne,On Fire,angry
Kylie,All The Lovers,angry
Chromeo,Don't Turn The Lights On,sad
Rockell,In A Dream,happy
Infernal,From Paris To Berlin,happy
Ministry,Everyday Is Halloween,angry
Ferry Corsten,Fire,angry
Yves Larock,Rise Up,relaxed
Angel City,Love Me Right ,happy
MercyMe,Bless Me Indeed,relaxed
Aaron Shust,Watch Over Me,sad
Pocket Full Of Rocks,Song To The King,happy
The Museum,Never Look Away,angry
Brandon Heath,Love Never Fails,happy
Above The Golden State,I'll Love You So,happy
Jars Of Clay,They'll Know We Are Christians By Our Love,happy
Mark Schultz,Love Has Come,happy
Robbie Seay Band,Song Of Hope ,happy
Matt Brouwer,Sometimes,angry
Third Day,I Believe,happy
Fee,Glory To God Forever,happy
Sade,Somebody Already Broke My Heart,angry
Al Green,I'm Still In Love With You,happy
Phil Collins,Another Day In Paradise,relaxed
Jonathan Butler,So Strong,happy
The Cardigans,Lovefool,happy
Ryan Star,Start A Fire,angry
Dido,Hunter,relaxed
R.E.M.,Shiny Happy People,happy
Evanescence,My Immortal,angry
Michelle Branch,All You Wanted,sad
Tonic,You Wanted More,happy
Fontella Bass,Rescue Me,happy
The Beach Boys,Wouldn't It Be Nice,relaxed
Three Dog Night,An Old Fashioned Love Song,happy
The Beatles,Here Comes The Sun,relaxed
Billy Joel,Uptown Girl,relaxed
The Beatles,Love Me Do ,happy
The Beatles,In My Life,happy
The Beatles,All You Need Is Love,happy
Johnny Nash,I Can See Clearly Now,relaxed
Three Dog Night,Joy To The World,happy
Ringo Starr,It Don't Come Easy,relaxed
Shontelle,Perfect Nightmare,angry
Ke$ha,Your Love Is My Drug,happy
Shenandoah,I Want To Be Loved Like That,happy
George Strait,Baby Blue,relaxed
Porter Wagoner,"Green, Green Grass Of Home",relaxed
John Anderson,Wild And Blue,relaxed
Merle Haggard,Rainbow Stew,relaxed
Juice Newton,Angel Of The Morning,relaxed
Randy Travis,If I Didn't Have You,sad
Johnny Cash,Ring Of Fire,angry
Willie Nelson,Always On My Mind,relaxed
Dwight Yoakam,Honky Tonk Man,relaxed
Mark Chesnutt,Brother Jukebox,relaxed
Cavo,Blame,sad
Sammy Hagar,I Don't Need Love,happy
Alice Cooper,School's Out,sad
Kiss,Do You Love Me?,happy
Led Zeppelin,Nobody's Fault But Mine,sad
ZZ Top,Blue Jean Blues,relaxed
Thirty Seconds To Mars,This Is War,angry
311,Lovesong,happy
Marilyn Manson,Tainted Love,happy
Muse,Supermassive Black Hole,sad
Three Days Grace,Pain,angry
The Cult,Fire Woman,angry
Nirvana,Polly,sad
Stone Temple Pilots,Unglued,sad
Jimmy Eat World,Pain,angry
Blink-182,I Miss You,sad
Cake,Sick Of You,sad
Metric,Eclipse ,angry
Cake,War Pigs,angry
Marilyn Manson,The Fight Song,angry
Muse,Map Of The Problematique,sad
The Temptations,I Want A Love I Can See,happy
Alejandro Fernandez,Matalas,sad
Mary J. Blige,I Love You,happy
Liquits,Desde Que,sad
Pedro Infante,Luna De Octubre,sad
Bobby Vinton,Mr. Lonely,sad
Tommy James & The Shondells,Crystal Blue Persuasion,relaxed
Victor Manuelle,Nunca Habia Llorado Asi ,sad
Ian Van Dahl,Will I,happy
Kosheen,Hide U,angry
Ronnie Milsap,Stranger In My House,relaxed
Hank Williams,Your Cheatin' Heart,relaxed
Mark Chesnutt,Your Love Is A Miracle,happy
Dolly Parton,Real Love,happy
Patty Loveless,I'm That Kind Of Girl,relaxed
The Marshall Tucker Band,Heard It In A Love Song,happy
T. Graham Brown,I Tell It Like It Used To Be,happy
Marty Stuart,Burn Me Down,angry
George Strait,Let's Fall To Pieces Together,sad
Sammi Smith,Help Me Make It Through The Night,sad
Dolly Parton,Love Is Like A Butterfly,relaxed
Dolly Parton,I Will Always Love You,happy
Emmylou Harris,Queen Of The Silver Dollar,relaxed
Earl Thomas Conley,I Can't Win For Losin' You,happy
Charley Pride,Kiss An Angel Good Mornin',happy
The Judds,Love Can Build A Bridge,happy
Jack Ingram,Mustang Burn,angry
George Strait,TRUE,relaxed
Vince Gill,When I Call Your Name,sad
Alabama,Old Flame,angry
Dwight Yoakam,Please Please Baby,relaxed
Eddie Rabbitt,You And I,happy
Dwight Yoakam,Ain't That Lonely Yet,sad
Jonatha Brooke,Little Bird,relaxed
Quincy Jones,Killer Joe,sad
Roberta Flack & Donny Hathaway,Where Is The Love,happy
Jon B.,Someone To Love ,happy
Jack Ingram,Love You,happy
Taylor Dayne,I'll Always Love You,happy
Santana,Whole Lotta Love ,happy
Soundgarden,Let Me Drown,angry
Alice Cooper,Poison,angry
Dokken,Alone Again,sad
Iron Maiden,Phantom Of The Opera,sad
Scorpions,Animal Magnetism,happy
Black Sabbath,The Devil Cried,angry
The Who,Long Live Rock,sad
Led Zeppelin,Bring It On Home,relaxed
Scorpions,Coming Home,relaxed
Brian McKnight,Love Of My Life,happy
Lionel Richie,Penny Lover,happy
Lisa Stansfield,Change,happy
Celine Dion,Love Can Move Mountains,happy
Jah Cure,Love Is,happy
Jody Watley,Looking For A New Love,happy
Bobby Darin,Dream Lover,relaxed
The Archies,"Sugar, Sugar",relaxed
Gwen Mccrae,Rockin' Chair,relaxed
Whitney Houston,You Give Good Love,happy
Paul Anka,Puppy Love,happy
Harold Melvin & The Blue Notes,Don't Leave Me This Way,happy
Gyptian,Beautiful Lady,relaxed
Bob Marley & The Wailers,So Much Trouble In The World,angry
Donna Summer,Love To Love You Baby,happy
Donna Summer,I Feel Love,happy
New Edition,Lost In Love,happy
Duane Stephenson,Cottage In Negril,relaxed
Beyonce,Dangerously In Love,happy
Rihanna,Russian Roulette,angry
Michael Jackson,Gone Too Soon,relaxed
Shania Twain,From This Moment On,relaxed
Julio Iglesias,My Love,happy
"Phillips, Craig & Dean",You Are God Alone,happy
Matt Brouwer,"Father, I Adore You",happy
Counting Crows,Accidentally In Love,happy
Fistful Of Mercy,Father's Son,sad
Greg Laswell,Take Everything ,relaxed
A Flock Of Seagulls,Space Age Love Song,happy
Peter Gabriel,Shock The Monkey,sad
Los Tigres Del Norte,Jose Perez Leon,sad
The Beatles,P.S. I Love You,happy
Portugal. The Man,People Say,angry
Concrete Blonde,Joey,angry
Bruce Springsteen,I'm On Fire,angry
Sufjan Stevens,Vesuvius,angry
Fastball,Out Of My Head,sad
Dire Straits,So Far Away,relaxed
Train,Cab,sad
Blind Faith,Can't Find My Way Home,relaxed
Dave Matthews Band,Everyday,happy
Pete Droge & The Sinners,Beautiful Girl,relaxed
Roxy Music,Jealous Guy,angry
Shawn Colvin,Get Out Of This House,relaxed
U2,Window In The Skies,happy
Mark Schultz,Love Has Come,happy
Sidewalk Prophets,You Can Have Me,happy
Josh Wilson,Before The Morning,angry
Brandon Heath,Your Love,happy
Jeremy Camp,Take You Back,angry
Third Day,God Of Wonders,relaxed
The Georgia Mass Choir,Joy,happy
Stevie Wonder,Lookin' For Another Pure Love,happy
Jody Watley,Real Love,happy
Chet Baker,Let's Get Lost,angry
Nina Simone,Feeling Good,relaxed
Mel Torme,Comin' Home Baby,relaxed
Freddie Hubbard,Red Clay,happy
Cassandra Wilson,Time After Time,sad
Patrice Rushen,Remind Me,happy
Curtis Mayfield,Give Me Your Love ,happy
Chayanne,Tu Boca,sad
Jeremias,Hay Un Amor Afuera,sad
David Bisbal,Esclavo De Sus Besos,sad
Darlene Zschech,Call Upon His Name ,relaxed
Aaron Shust,To God Alone,happy
Laura Story,What A Savior,happy
Darrell Evans,Trading My Sorrows,angry
Newsong,My Heart's Already There,happy
Britt Nicole,The Lost Get Found,angry
Jadon Lavik,Hear Our Song,happy
The Afters,All That I Am,happy
Todd Agnew,Joy Unspeakable,happy
Norman Hutchins,Get Ready For Your Miracle,happy
Diana Krall,You're My Thrill,happy
Jonathan Butler,Color Green,relaxed
John Coltrane,Acknowledgement,happy
Seether,Driven Under,angry
Soundgarden,Rhinosaur,sad
Metallica,Fight Fire With Fire,angry
Deftones,You've Seen the Butcher,sad
Velvet Revolver,Fall To Pieces,sad
Puddle Of Mudd,Away From Me,angry
Staind,Home,angry
Pearl Jam,Glorified G,angry
Alex Bueno,Que Vuelva,sad
Los Iracundos,Y Te Has Quedado Sola,sad
Moenia,Ni Tu Ni Nadie,sad
David Guetta,On The Dancefloor ,angry
Los Cadetes De Linares,El Palomito,sad
La Oreja De Van Gogh,Vestido Azul,sad
Paulina Rubio,Algo De Ti,sad
Fred Hammond & Radical For Christ,I Will Bless His Holy Name,relaxed
Whitney Houston,Joy ,happy
Israel & New Breed,Friend Of God,happy
Micah Stampley,War Cry,angry
Gary Wright,Love Is Alive,happy
Scissor Sisters,Fire With Fire,angry
The Drifters,Some Kind Of Wonderful,relaxed
J. Moss,Abundantly,relaxed
Phil Perry,Love Don't Love Nobody,happy
Cherrelle,Everything I Miss At Home,relaxed
The Ohio Players,Love Rollercoaster,happy
The Staple Singers,Respect Yourself,relaxed
Clyde McPhatter,Lover Please,sad
The Jackson 5,Maybe Tomorrow,relaxed
The Blackbyrds,Walking In Rhythm,relaxed
Shalamar,Take That To The Bank,happy
Maze,Love Is The Key ,relaxed
Gerald Levert,Baby Hold On To Me,relaxed
Maxwell,Fortunate,relaxed
Eddie Kendricks,Intimate Friends,happy
Teena Marie,Young Love,happy
Ledisi,In The Morning,happy
Miki Howard,Come Share My Love,happy
Smokey Robinson,I Can't Give You Anything But Love,happy
George Benson,Don't Let Me Be Lonely Tonight,sad
Natalie Cole,Our Love,happy
Jimmy Sommers,If I Knew ,angry
Kindred The Family Soul,House Of Love,relaxed
Anita Baker,Angel,relaxed
Usher,Burn,angry
Waka Flocka Flame,Bustin' At 'Em,sad
Wavves,Mickey Mouse,sad
Suuns,Organ Blues,happy
The Apples In Stereo,Dream About The Future,relaxed
Bob Marley & The Wailers,Small Axe,sad
Waking The Cadaver,Boss Status,angry
Jah Cure,Troddin The Valley,angry
Bonnie 'Prince' Billy,Love Comes To Me,happy
Clap Your Hands Say Yeah,In This Home On Ice,sad
No Age,Fever Dreaming,sad
Grizzly Bear,Knife,angry
Out Hud,It's For You,sad
Hot Snakes,Braintrust,relaxed
Gravenhurst,The Velvet Cell,angry
Jemina Pearl,I Hate People ,angry
Asobi Seksu,Thursday,sad
Someone Still Loves You Boris Yeltsin,In Pairs,happy
Living Sacrifice,The Training,angry
Elliott Smith,Let's Get Lost,angry
Spank Rock,What It Look Like,sad
Stacey Kent,What A Wonderful World,relaxed
Frank Sinatra,My Kind Of Girl,relaxed
Ted Weems,Heartaches,happy
Rosemary Clooney,Come On-A My House,relaxed
Tommy Dorsey & His Orchestra,I'll Never Smile Again ,happy
Billie Holiday,Nice Work If You Can Get It,relaxed
Nat King Cole,Too Young,happy
Frank Sinatra,Nice 'N' Easy,relaxed
Nat King Cole,The Very Thought Of You ,relaxed
Escape The Fate,Issues,sad
Garbage,Stupid Girl,sad
Alkaline Trio,This Addiction,sad
Radiohead,Just,sad
Deftones,Minerva,relaxed
Sublime,Jailhouse,angry
Against Me!,I Was A Teenage Anarchist,angry
Sade,Love Is Stronger Than Pride,happy
Bruce Hornsby,Walk In The Sun,relaxed
Brian McKnight,Crazy Love,happy
Lionel Richie,You Are,happy
Harry Nilsson,Jump Into The Fire,happy
The Derek Trucks Band,Rastaman Chant,relaxed
Monchy & Alexandra,Dos Locos,sad
Chayanne,Un Siglo Sin Ti,sad
Domenic Marte,Eres Asi,sad
Juanes,Me Enamora,sad
Aleks Syntek,Duele El Amor ,sad
Amy Grant,Lucky One,happy
Natalie Cole,Inseparable,relaxed
Michael Jackson,One More Chance,happy
Robert John,Sad Eyes,sad
Elton John,Blue Eyes,relaxed
Bread,Make It With You,relaxed
Wilson Phillips,You're In Love,happy
Three Dog Night,Black & White,relaxed
Carly Simon,Haven't Got Time For The Pain,angry
Kenny Loggins,Meet Me Half Way,relaxed
Lionel Richie,Truly,happy
Stevie Wonder,Sweetest Somebody I Know,happy
Michael Jackson,Got To Be There,relaxed
The Emotions,Don't Ask My Neighbors,angry
The Majors,A Wonderful Dream,relaxed
The Everly Brothers,All I Have To Do Is Dream,relaxed
War,The World Is A Ghetto,relaxed
The O'Jays,For The Love Of Money,happy
The Rolling Stones,I Just Want To Make Love To You,happy
The Beatles,Birthday,happy
The Beatles,The End,happy
.38 Special,Fantasy Girl,relaxed
The Beatles,Happiness Is A Warm Gun,angry
The Jimi Hendrix Experience,Stone Free,relaxed
Alice Cooper,Be My Lover,relaxed
Sanctus Real,The Face Of Love,happy
BarlowGirl,I Need You To Love Me,happy
John Prine,Glory Of True Love,happy
Luciano,For The Leaders,angry
Gregory Isaacs,Slavemaster,angry
Chimaira,Pure Hatred,angry
Sevendust,Bitch,angry
Theory Of A Deadman,Hate My Life,angry
Evans Blue,Cold ,sad
Patricia Barber,Easy To Love,relaxed
Alabama,Down Home,relaxed
Jo Dee Messina,Bring On The Rain,sad
Thousand Foot Krutch,Fire It Up,angry
God Forbid,War Of Attrition,angry
Nirvana,Come As You Are,angry
Chiodos,Caves,angry
Nirvana,Polly ,sad
Lit,Miserable,angry
Olga Tanon,Asi Es La Vida,sad
Britney Spears,Toxic,angry
Natasha Bedingfield,These Words,happy
Akon,Don't Matter,angry
Sean Kingston,Fire Burning On The Dance Floor,angry
Robert Plant,You Can't Buy My Love,happy
Rosanne Cash,Motherless Children,happy
The Black Keys,Next Girl,relaxed
The Beatles,Octopus's Garden,relaxed
Moby,Study War,angry
Neil Young,Sign Of Love,happy
John Lennon & The Plastic Ono Band,Power To The People,happy
Iron Fire,Still Alive,angry
The Sword,Freya,sad
Inoj,Time After Time,sad
Reba,Strange,relaxed
Tanya Tucker,Some Kind Of Trouble,angry
Tanya Tucker,Down To My Last Teardrop,relaxed
Shadows Fall,Still I Rise,angry
Backstreet Boys,Quit Playing Games ,happy
