Artist,Title,Mood
Peter Cetera,Glory Of Love,happy
Blessid Union Of Souls,I Believe,happy
The Gap Band,You Dropped A Bomb On Me,angry
Debbie Gibson,Shake Your Love,happy
Incubus,Love Hurts,happy
The Psychedelic Furs,Heaven,relaxed
Dinosaur Jr.,Feel The Pain,angry
Echo & The Bunnymen,People Are Strange,sad
Iggy Pop,Lust For Life,happy
Crocodiles,Sleep Forever,relaxed
Nirvana,Sliver,relaxed
Ashanti,The Way That I Love You,happy
Maze,Southern Girl ,relaxed
Carole King,Will You Love Me Tomorrow?,happy
Mint Condition,You Don't Have To Hurt No More,angry
Robin Thicke,The Sweetest Love,happy
Eliane Elias,Movin' Me On,relaxed
Interpol,Barricade,sad
Rob Zombie,Mars Needs Women,angry
Rascal Flatts,I Won't Let Go,angry
The Beatles,Golden Slumbers,relaxed
Spirit,Fresh Garbage,sad
Vanilla Fudge,You Keep Me Hangin' On,happy
The Sylvers,Boogie Fever,sad
George Harrison,What Is Life,happy
Nicolette Larson,Lotta Love,happy
Lindsey Buckingham,Trouble,angry
U2,Angel Of Harlem,relaxed
Grand Funk Railroad,Bad Time,happy
Haddaway,What Is Love,angry
The S.O.S. Band,Take Your Time ,relaxed
Peter Frampton,I'm In You,happy
Operation Ivy,Unity,angry
Papa Roach,Burn,angry
Apocalyptica,Bring Them To Light ,angry
Kopek,Love Is Dead,angry
Peaches & Herb,Close Your Eyes,happy
The Temptations,You're My Everything,relaxed
GQ,I Do Love You,happy
Chalino Sanchez,El Crimen De Culiacan,sad
Shedaisy,Come Home Soon,relaxed
Garth Brooks,Standing Outside The Fire,angry
Lee Ann Womack,I May Hate Myself In The Morning,angry
Nat King Cole,L-O-V-E,happy
Jose Feliciano,Light My Fire,angry
DeBarge,All This Love,happy
Norah Jones,My Blue Heaven,relaxed
Elmore James,The Sky Is Crying,relaxed
Elvis Costello,One Bell Ringing,sad
Nicki Minaj,Save Me,relaxed
Brandon Heath,Your Love,happy
Michael W. Smith,Awesome God,happy
Jeremy Riddle,Bless His Name,relaxed
"Phillips, Craig & Dean",Because I'm Forgiven,happy
Sarah Sadler,Beautiful,happy
Juan Gabriel,Abrazame Muy Fuerte,sad
Chalino Sanchez,Baraja De Oro,sad
Sam Cooke,Trouble Blues,angry
Salvador,You Are There,happy
Billy Ocean,Love Is Forever,happy
Seal,I'm Still In Love With You,happy
Intocable,Contra Viento Y Marea,sad
Sonny James,Young Love,happy
Dolly Parton,Yellow Roses,relaxed
Innerpartysystem,American Trash,sad
Edward Sharpe & The Magnetic Zeros,Home,relaxed
Tenacious D,The Metal,sad
The Heartbeats,A Thousand Miles Away,relaxed
Surface,Happy,happy
The Gap Band,Yearning For Your Love,happy
War,Outlaw,angry
Dinora Y La Juventud,A Puro Dolor,sad
Lhasa,De Cara A La Pared,sad
Duncan Dhu,En Algun Lugar,sad
Miguel Aceves Mejia,Rogaciano,sad
Audioslave,Original Fire,angry
Chickenfoot,Sexy Little Thing,happy
Veruca Salt,Seether,angry
Corinne Bailey Rae,Is This Love,happy
Jack White,Wayfaring Stranger,relaxed
Cross Canadian Ragweed,Fightin' For,angry
Janie Frickie,It Ain't Easy Bein' Easy,relaxed
The Statler Brothers,Bed Of Roses,relaxed
Dolly Parton,But You Know I Love You,happy
Marilyn Manson,The Nobodies,sad
Ozzy Osbourne,Killer Of Giants,angry
L.A. Guns,Never Enough,relaxed
Iron Maiden,Iron Maiden,sad
Honeymoon Suite,New Girl Now,relaxed
Stevie Ray Vaughan & Double Trouble,Willie The Wimp ,sad
Faith Evans,Love Like This,happy
Elvis Presley,Jailhouse Rock,sad
Al Martino,I Love You Because,happy
George McCrae,Rock Your Baby,relaxed
Bruce Springsteen,Save My Love,relaxed
Dolores O'Riordan,The Journey,relaxed
She & Him,I Should Have Known Better,happy
Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick,angry
The Red Hot Chili Peppers,Behind The Sun,relaxed
J.D. Souther,You're Only Lonely,sad
Freelance Whales,Starring,angry
The Cure,Fascination Street,sad
Jack Johnson,Wasting Time,sad
The Beatles,Thank You Girl ,relaxed
Electronic,Getting Away With It,happy
Chris Tomlin,Our God,happy
Robbie Seay Band,Song of Hope,happy
Hezekiah Walker & The Love Fellowship Crusade Choir,Grateful ,relaxed
Martha Munizzi,Invincible God,happy
Vickie Winans,The Rainbow,relaxed
The Shirelles,Will You Love Me Tomorrow,happy
Dianne Reeves,Afro Blue,relaxed
Black Label Society,Bored To Tears,sad
George Michael,I Want Your Sex,happy
Slayer,War Ensemble,angry
Metallica,Crash Course In Brain Surgery,angry
Monchy & Alexandra,Hasta El Fin,sad
Patrulla 81,Como Me Haces Falta,sad
Aliados De La Sierra,Te Amo,sad
Los Rieleros Del Norte,Un Juego,sad
Conjunto Primavera,El Amor Que Nunca Fue,sad
Luther Vandross,Anyone Who Had A Heart,happy
New Edition,Candy Girl,relaxed
Tower Of Power,Give Me Your Love,happy
Joan Osborne,War,angry
Jimmy Smith,Strut ,relaxed
"Harry Connick, Jr.",My Blue Heaven,relaxed
The Brian Setzer Orchestra,The Dirty Boogie,sad
Joni Mitchell,Sometimes I'm Happy,happy
Jimmy Smith,I Just Wanna Make Love To You ,happy
The Naked And Famous,All Of This,sad
The Jesus & Mary Chain,Just Like Honey,relaxed
Destructor,Skull Splitter,sad
Noah And The Whale,Give A Little Love,happy
Grizzly Bear,Lullabye,relaxed
Best Coast,Honey,relaxed
Warpaint,Composure,sad
Sly & The Family Stone,Family Affair,relaxed
Gliss,Morning Light,happy
Kaiser Chiefs,I Predict A Riot,angry
Buzzcocks,Ever Fallen In Love?,happy
Jay Reatard,DOA,happy
OFF!,Upside Down,sad
The Jesus & Mary Chain,The Hardest Walk,sad
Fang Island,The Illinois,relaxed
The Decemberists,This Is Why We Fight,angry
No Age,Life Prowler,happy
Someone Still Loves You Boris Yeltsin,Everlyn,sad
Billie Holiday,There Is No Greater Love,happy
Louis Armstrong,Stormy Weather,sad
Chevelle,Vitamin R ,angry
Deftones,Bored,sad
Muse,Knights Of Cydonia,angry
Bebel Gilberto,Aganju,sad
Peter Gabriel,Digging In The Dirt,sad
KMFDM,WWIII,angry
Michael Bolton,Said I Loved You...But I Lied,happy
England Dan & John Ford Coley,It's Sad To Belong,sad
Queen Latifah,What Love Has Joined Together,happy
Roberta Flack,Set The Night To Music ,relaxed
Otis Redding,Respect,relaxed
"Emerson, Lake & Palmer",From The Beginning,sad
Roisin Murphy,Let Me Know,sad
Elton John,Sad Songs ,sad
Sarah Vaughan,You're Not The Kind,relaxed
Alan Jackson,A Woman's Love,happy
Dean Martin,Innamorata,happy
Fine Young Cannibals,Ever Fallen In Love,happy
LeAnn Rimes,God Bless America,relaxed
Diana Krall,Little Girl Blue,relaxed
Billie Holiday,Did I Remember?,angry
Billie Holiday,The Very Thought Of You,relaxed
"Hamilton, Joe Frank & Reynolds",Fallin' In Love,happy
Mary J. Blige,Real Love ,happy
Trivium,Shattering The Skies Above,angry
Jarabe De Palo,El Lado Oscuro,sad
Ricardo Arjona,Pinguinos En La Cama,sad
The Oak Ridge Boys,Fancy Free,relaxed
Bobby Bare,500 Miles Away From Home,relaxed
Willie Nelson,Let It Be Me,happy
Willie Nelson,Blue Skies,relaxed
Ronnie Milsap,"Happy, Happy Birthday Baby",happy
Dolly Parton,Think About Love,happy
Marty Robbins,Big Iron,sad
Faron Young,Hello Walls,sad
Billy Swan,I Can Help,relaxed
Frank Sinatra,Nice Work If You Can Get It,relaxed
The Red Hot Chili Peppers,Fortune Faded,sad
Taddy Porter,Shake Me,sad
Rob Zombie,Sick Bubble-Gum,sad
Egypt Central,You Make Me Sick,sad
Juelz Santana,There It Go ,relaxed
Skindred,Pressure,angry
The Wannadies,Skin,happy
Vanessa Williams,My Flame,happy
Paula Abdul,The Way That You Love Me,happy
My Morning Jacket,Circuital,sad
The Beatles,Yer Blues,sad
George Harrison,Isn't It A Pity,sad
Arthur Brown,Fire,angry
J Boog,Let's Do It Again ,relaxed
Kapena,Masese,sad
Pat Benatar,Fire And Ice,angry
The Four Tops,When She Was My Girl,relaxed
The Honey Drippers,Sea Of Love,happy
Emmylou Harris,Home Sweet Home,relaxed
Toots & The Maytals,Pressure Drop,angry
James Blake,Lindisfarne I,sad
Dan Deacon,Wet Wings,sad
Jane Monheit,Save Your Love For Me,happy
Foster The People,Warrant,angry
Jens Lekman,I'm Leaving You Because I Don't Love You,happy
Bill Callahan,Sycamore,angry
Wye Oak,Civilian,relaxed
The Doors,The Spy,angry
Slayer,Cult,angry
Dirge Within,Self Medicate,angry
Atreyu,Ex's And Oh's,sad
Donnie McClurkin,When You Love ,happy
Anita Baker,You Bring Me Joy,happy
Anita Baker,Good Love,happy
Adele,Love Song,happy
Adelitas Way,Sick,sad
Sick Puppies,War,angry
Red,Feed The Machine,sad
Metallica,Metal Militia,sad
Cold,Wicked World,angry
Anthrax,Among The Living,angry
Blackguard,Firefight,angry
Katy Perry,E.T. ,angry
The Stylistics,You're A Big Girl Now,relaxed
Kid Rock,Collide ,angry
Millie Small,My Boy Lollipop,happy
The Rolling Stones,We Love You,happy
Bob Marley & The Wailers,War,angry
Gene Pitney,Only Love Can Break A Heart,happy
John Hiatt,What Kind Of Man,relaxed
Joan Armatrading,This Charming Life,happy
The Isley Brothers,Fight The Power Part 1,angry
War,Me And Baby Brother,relaxed
Eskmo,Color Dropping,relaxed
Chris Tomlin,Our God,happy
Celine Dion,God Bless America,relaxed
Lincoln Brewster,All I Really Want,happy
Jose Jose,O Tu O Yo,sad
Joe Cocker,You Are So Beautiful,happy
Cassandra Wilson,Blue Skies,relaxed
Roy Milton,Thrill Me,happy
Billie Holiday,Nice Work If You Can Get It,relaxed
Delirious?,Stronger,happy
Ready For The World,Love You Down,happy
New Edition,I'm Still In Love With You,happy
Frederick Knight,I've Been Lonely For So Long,sad
Wilson Pickett,Don't Let The Green Grass Fool You,relaxed
Jill Scott,So In Love ,happy
Johnny Gill,In The Mood,relaxed
One Way,Cutie Pie,relaxed
Elvis Presley,Heartbreak Hotel,sad
The Platters,I Love You 1000 Times,happy
Bo Diddley,Bo Diddley,relaxed
Brenton Wood,Gimme Little Sign,relaxed
Barry Manilow,Can't Smile Without You,sad
Shenandoah,Rock My Baby,relaxed
Hank Snow,Hello Love,happy
Zebra,One More Chance,happy
Sammy Hagar,Baby's On Fire,angry
Tony Carey,I Won't Be Home Tonight,relaxed
Whitesnake,Love Ain't No Stranger,happy
Muse,Stockholm Syndrome,angry
Jose Alfredo Jimenez,El Rey,sad
Los Alegres De Teran,Hermosisimo Lucero,sad
Nice & Wild,Diamond Girl,relaxed
The Cult,Sun King,relaxed
Sammy Kershaw,Love Of My Life,happy
Craig Morgan,God Must Really Love Me,happy
Alan Jackson,Ring Of Fire,angry
David Kersh,Goodnight Sweetheart,relaxed
Robert Earl Keen,Something I Do,relaxed
Willie Nelson,Uncloudy Day,relaxed
Ryan Adams,To Be Young ,sad
Reckless Kelly,Some People's Kids,angry
Praise Band,Awesome God,happy
Phish,Free,relaxed
Christine McVie,Got A Hold On Me,happy
Chic,I Want Your Love,happy
Don Henley,Sunset Grill,relaxed
Underoath,A Boy Brushed Red Living In Black And White,angry
Vreid,Disciplined,angry
Belphegor,Blood Magick Necromance,angry
Murder By Death,Comin' Home,relaxed
My Darkest Days,Move Your Body,angry
Akon,Lonely,sad
Conjunto Primavera,Fue Un Placer Amarte,sad
Terri Clark,I Just Wanna  Be Mad,angry
Built To Spill,Goin' Against Your Mind,relaxed
Bo Diddley,Bring It To Jerome,relaxed
Jane Monheit,I'm Glad There Is You,happy
Ann Hampton Callaway,What Is This Thing Called Love?,happy
B.B. King,Don't Answer The Door,relaxed
James Hunter,No Smoke Without Fire,angry
Melody Gardot,Over The Rainbow,relaxed
Stevie Wonder,For Your Love,happy
Simon & Garfunkel,Homeward Bound,relaxed
Wadsworth Mansion,Sweet Mary,relaxed
Bayside,"Sick, Sick, Sick",sad
"Does It Offend You, Yeah?",The Monkeys Are Coming,angry
Rosie & The Originals,Angel Baby,happy
Maze,Happy Feelin's ,happy
Zoe,Love,happy
Young Galaxy,The Angels Are Surely Weeping,sad
PJ Harvey,This Mess We're In,relaxed
Kylesa,Dust,sad
Silversun Pickups,Waste It On,sad
Oh Land,White Nights,relaxed
The Beatles,And I Love Her,happy
Serge Gainsbourg,Requiem Pour Un C...,sad
Bebel Gilberto,Aganju,sad
The Dramatics,Get Up And Get Down,sad
Tinsley Ellis,Speak No Evil,angry
Kurt Elling,Matte Kudasai,sad
Merle Haggard,Going Where The Lonely Go,sad
Johnny Cash,Rusty Cage,sad
Green Day,Sassafrass Roots,sad
Judas Priest,Painkiller,angry
Mr. Big,Addicted To That Rush,sad
The Rolling Stones,Hang Fire,angry
Jack Johnson,From The Clouds,relaxed
Robbie Robertson,He Don't Live Here No More,sad
Stereophonics,Maybe Tomorrow,relaxed
The Police,So Lonely,sad
Rockpile,Teacher Teacher,relaxed
Air,Cherry Blossom Girl,relaxed
Los Lobos,Come On Let's Go,happy
Damien Rice,The Blowers Daughter,relaxed
Byron Cage,It Is To You,relaxed
Will Downing,Lover's Melody ,relaxed
Mary J. Blige,I Can See In Color,relaxed
Hezekiah Walker & The Love Fellowship Crusade Choir,Power Belongs To God,happy
Donald Byrd,Think Twice,happy
The Meters,Fire On The Bayou,angry
Inner City,Good Life,happy
La Ley,Aqui,sad
Ednita Nazario,Sobrevivo,sad
Fats Domino,All By Myself,happy
Al Green,You've Got The Love I Need ,happy
Patrice Rushen,Settle For My Love,happy
K-Paz De La Sierra,Volvere,sad
Ricardo Montaner,Tan Enamorados,sad
RBD,Nuestro Amor,sad
Belinda,Bella Traicion,sad
Braids,Lemonade,sad
The Stooges,No Fun,happy
Sonic Youth,Reena,relaxed
Fatboy Slim,Everybody Needs A 303,happy
Metric,On The Sly,angry
Warpaint,Set Your Arms Down,angry
White Fence,Harness,relaxed
Bloc Party,Like Eating Glass,sad
Smith Westerns,Fallen In Love,relaxed
Tokyo Police Club,Big Difference,sad
Love Is All,Make Out Fall Out Make Up,sad
Tony Bennett,Because Of You,happy
Billie Holiday,Summertime,relaxed
The Red Hot Chili Peppers,Blood Sugar Sex Magik,happy
Warrant,Sometimes She Cries,sad
Enya,Amarantine,happy
Andy Andy,Que Ironia,sad
Victor Manuelle,Asi Es La Mujer,sad
Motley Crue,Louder Than Hell,angry
New Order,Shellshock,angry
The Beatles,I Should Have Known Better,happy
Roger Daltrey,Without Your Love,happy
David Lee Roth,Just Like Paradise,relaxed
Ohio Express,Yummy Yummy Yummy,happy
Small Faces,Itchycoo Park,happy
The Supremes,Baby Love,happy
"Blood, Sweat & Tears",You've Made Me So Very Happy,happy
Olivia Newton-John,I Honestly Love You,happy
The Ronettes,"Baby, I Love You",happy
Van Morrison,Crazy Love,happy
The Rascals,People Got To Be Free,relaxed
Eddie Holman,Hey There Lonely Girl,sad
The Cowsills,"The Rain, The Park And Other Things",relaxed
The Bee Gees,Tragedy,angry
The Beatles,Love Me Do,happy
Wayne Fontana & The Mindbenders,The Game Of Love,happy
Otis Redding,That's How Strong My Love Is,happy
The Whispers,It's A Love Thing,happy
Laura Izibor,From My Heart To Yours,happy
Rufus & Chaka Khan,Do You Love What You Feel,happy
Loose Ends,Slow Down,sad
Ann Nesby,Put It On Paper ,sad
Anthony Hamilton,The Point Of It All,happy
Donny Hathaway,I Love You More Than You'll Ever Know,happy
Jerzee Monet,Most High,relaxed
Boney James,Don't Let Me Be Lonely Tonight ,sad
Karyn White,Love Saw It ,happy
Teena Marie,Portuguese Love,happy
Lisa Fischer,How Can I Ease The Pain,angry
Dave Hollister,Take Care Of Home,relaxed
Gotan Project,Amor Porteno ,sad
The Infamous Stringdusters,Starry Night,relaxed
Skeletonwitch,Upon Wings Of Black,angry
Hatebreed,Destroy Everything,angry
Lamb Of God,Black Label,angry
Metallica,St. Anger,angry
Whitney Houston,All The Man That I Need,happy
Patti LaBelle,Kiss Away The Pain,angry
Johnny Hartman,The Very Thought Of You,relaxed
The Radio Dept.,Heaven's On Fire,angry
Baths,Maximalist,happy
Lucinda Williams,Born To Be Loved,happy
Daft Punk,Make Love,happy
New Order,Age Of Consent,angry
Roy Orbison,Candy Man,relaxed
El Guincho,Lycra Mistral,sad
The Hundred In The Hands,Dead Ending,sad
Yeah Yeah Yeahs,Maps,happy
Ed Bruce,The Last Cowboy Song,sad
Crystal Gayle,A Long And Lasting Love,happy
Pat Benatar,We Live For Love,happy
Boz Scaggs,Breakdown Dead Ahead,angry
The Raveonettes,War In Heaven,angry
Stateless,Assassinations,sad
Me'Shell Ndegeocello,Love You Down,happy
Gorillaz,Broken,angry
Vivian Girls,I Heard You Say,sad
Franz Ferdinand,Do You Want To,happy
UNKLE,Hold My Hand,sad
36 Crazyfists,The All Night Lights,sad
The Devil Wears Prada,Dez Moines,sad
Alabama,Sad Lookin' Moon,sad
Rufus & Chaka Khan,Everlasting Love,happy
Mr. Capone-E,Light My Fire ,angry
Raheem DeVaughn,I Don't Care,angry
Herb Alpert & The Tijuana Brass,A Taste Of Honey,relaxed
Gretchen Parlato,Blue In Green,relaxed
Gucci Mane,I Don't Love Her ,happy
Keri Hilson,Make Love,happy
Chris Brown,Beautiful People ,happy
Jeremy Camp,You Never Let Go,angry
Rocio Durcal,No Sirvo Para Estar Sin Ti,sad
Albert Hammond,Echame A Mi La Culpa,sad
Banda El Recodo,Tiro Arriba,sad
Roberta Gambarini,From This Moment On,relaxed
Back Door Slam,Come Home,relaxed
Immature,Never Lie,angry
The Everly Brothers,When Will I Be Loved,happy
Enanitos Verdes,Mejor No Hablemos De Amor,sad
The Herbaliser,Gadget Funk,angry
The Drums,I Need Fun In My Life,happy
Michael Franti & Spearhead,Light Up Ya Lighter,angry
Mission Of Burma,That's How I Escaped My Certain Fate,sad
Frank Sinatra,My Kind Of Town,relaxed
Loreena McKennitt,Down By The Sally Gardens,relaxed
Sin Fang,Always Everything,sad
Fischerspooner,Happy,sad
Craig Morgan,I Got You,relaxed
Willie Nelson & Leon Russell,Heartbreak Hotel,sad
Son Volt,Drown,angry
Faith No More,War Pigs,angry
Whitney Houston,Miracle,happy
Drive-By Truckers,Everybody Needs Love,happy
Sarah McLachlan,Into The Fire,angry
Florence & The Machine,You've Got The Love,happy
Culture Club,It's A Miracle,happy
Elbow,With Love,happy
Graham Parker,White Honey,relaxed
Beck,Lost Cause,angry
Dianne Reeves,Love For Sale,happy
Melba Moore,Time To Come Home ,relaxed
Incognito,Your Sun My Sky ,relaxed
Gloria Trevi,Me Rio De Ti,sad
Soraya,Llevame,sad
Bury Your Dead,Twelfth Stroke Of Midnight,sad
Roy Orbison,Only The Lonely ,sad
Roy Orbison,Running Scared,angry
Banda Maguey,Que Sacrificio,sad
Alejandro Fernandez,Si He Sabido Amor,sad
Martha Munizzi,Mighty God,happy
Fred Hammond,Keep On Praisin',relaxed
Kirk Franklin,Afterwhile ,angry
Phil Perry,The World Is A Ghetto,relaxed
Expatriate,Gotta Get Home,relaxed
Boney James,I Get Lonely,sad
Billy Corgan,A100,happy
Patty Griffin,Rowing Song,sad
Gyptian,So Much In Love,happy
Tito Nieves,Mi Eterno Amor Secreto,sad
Grupo Niche,Gotas De Lluvia,sad
Billie Holiday,Prelude To A Kiss,happy
Barbara Lewis,Make Me Your Baby,happy
Brook Benton,Lie To Me,angry
Roomful Of Blues,That's A Pretty Good Love,happy
The Beatles,I Want You ,angry
Paul McCartney & Wings,Helen Wheels,sad
The Doors,Waiting For The Sun,relaxed
Elvis Presley,Heartbreak Hotel,sad
Herman's Hermits,Listen People,happy
Peter & Gordon,True Love Ways,happy
Donovan,Wear Your Love Like Heaven,happy
The Hollies,The Air That I Breathe,relaxed
Gene Vincent & His Blue Caps,Be-Bop-A-Lula,relaxed
Ruby & The Romantics,Our Day Will Come,happy
Maze,We Are One ,happy
Con Funk Shun,Ffun,happy
Angela Winbush,Angel,relaxed
Charlie Wilson,Without You,relaxed
Jazmine Sullivan,Fear,angry
Big Head Blues Club,Kind Hearted Woman,happy
James Brown,I'll Go Crazy,happy
Lucinda Williams,Joy,happy
Willie Nelson,Night Life ,happy
Max Romeo & The Upsetters,War Ina Babylon,angry
Freddie Hubbard,Red Clay,happy
Static-X,Bled For Days,angry
Hatebreed,Ghosts Of War,angry
Howlin' Wolf,Shake For Me,relaxed
"Earth, Wind & Fire",Evil,angry
Della Reese,Don't You Know,happy
James Taylor,Don't Let Me Be Lonely Tonight,sad
Rob Zombie,Demon Speeding,angry
Motorhead,The Game,angry
Marc Anthony,Viviendo,sad
Jo Dee Messina,Because You Love Me,happy
Bad Religion,The Biggest Killer In American History,angry
The Clash,Tommy Gun,angry
Dio,Stand Up And Shout,angry
Kirk Franklin & The Family,Now Behold The Lamb,relaxed
Tye Tribbett & G.A.,Still Have Joy,happy
Sarah Vaughan,Fever,sad
Pendulum,Out Here,sad
Bettye LaVette,It Don't Come Easy,relaxed
Desperation Band,The Difference,happy
Chelley,Took The Night,angry
Jose Feliciano,Feliz Navidad,happy
Johnny O.,Fantasy Girl,relaxed
Sonora Santanera,Donde Estas Yolanda,sad
Andy Palacio & The Garifuna Collective,Baba ,sad
Harlem,Spray Paint,relaxed
Fleet Foxes,Sun It Rises,relaxed
Nellie McKay,The Very Thought Of You,relaxed
The Album Leaf,Falling From The Sun,sad
Nellie McKay,Mother Of Pearl,angry
Steel Pulse,Blazing Fire ,angry
Michael Franti & Spearhead,All I Want Is You,happy
Broken Bells,Sailing To Nowhere,sad
G. Love & Special Sauce,"Peace, Love & Happiness",relaxed
Ed Bruce,You're The Best Break This Old Heart Ever Had,happy
La Mafia,Quiero Amanecer Contigo,sad
Conjunto Primavera,No Se Vivir Sin Ti,sad
Palomo,Nos Falto,sad
Dokken,Into The Fire,angry
Kreator,Warcurse,angry
Delirious?,I Could Sing Of Your Love Forever,happy
Culture Club,The War Song,angry
Skillet,The Last Night,sad
Third Day,Silent Night,relaxed
Elvis Presley,Blue Christmas,relaxed
The Carpenters,"Merry Christmas, Darling",happy
Kenny Loggins,Celebrate Me Home,relaxed
Casting Crowns,I Heard The Bells On Christmas Day,relaxed
Third Day,Joy To The World,happy
Vince Vance & The Valiants,All I Want For Christmas Is You,relaxed
Kelley Stoltz,Fire Escape,angry
George Harrison,I Dig Love,happy
Kirk Franklin & The Family,Silent Night,relaxed
Boyz II Men,Silent Night,relaxed
Israel Houghton,I Receive,happy
Sharon Jones & The Dap-Kings,Be Easy,relaxed
Israel Houghton,Others,happy
Incognito,Feel The Pressure,angry
Alejandro Sanz,Cuando Nadie Me Ve,sad
Elvis Costello,I Lost You,angry
The Replacements,Skyway,sad
Vampire Weekend,Mansard Roof,sad
Grant-Lee Phillips,It Ain't The Same Old Cold War Harry,angry
The Who,I'm Free,relaxed
The Flaming Lips,Yoshimi Battles The Pink Robots,angry
U2,I Fall Down,sad
Jason Collett,I'll Bring The Sun,relaxed
Bruce Springsteen,Fire,angry
Andrew Bird,Plasticities,angry
Lori McKenna,Pour,relaxed
Alaska Y Dinarama,Ni Tu Ni Nadie,sad
Marvin Gaye,You Sure Love To Ball,happy
The Chi-Lites,Toby,sad
Luther Vandross,At Christmas Time,happy
Frank Sinatra,It Gets Lonely Early,sad
John Pizzarelli,Mountain Greenery,relaxed
The Brooklyn Tabernacle Choir,Happy Birthday Jesus,happy
Rebecca St. James,Happy Xmas ,happy
Matt Brouwer,Have Yourself A Merry Little Christmas,happy
Jars Of Clay,Love Came Down at Christmas,happy
MercyMe,Joseph's Lullaby,relaxed
Third Day,Merry Christmas,happy
Frank Reyes,Por Ti Voy A Morir,sad
Rod Stewart,What A Wonderful World ,relaxed
Judas Priest,Metal Gods,sad
Alejandro Escovedo,Silver Cloud,happy
The Beatles,Two Of Us,relaxed
Mnemic,Within,angry
Godsmack,Running Blind ,sad
Teddy Pendergrass,Joy,happy
Eva Cassidy,Time After Time,sad
Courtney John,Lucky Man,happy
Maysa,A Woman In Love,happy
Michael Buble,Dream,relaxed
Alejandra Guzman,Hasta El Final,sad
The Prodigy,Shoot Down,angry
Joy Division,Heart And Soul,angry
Wire,Reuters,angry
Junior Boys,Teach Me How To Fight,angry
John Mayer,Slow Dancing In A Burning Room,sad
Black Prairie,Red Rocking Chair,relaxed
Tom Petty,It's Good To Be King,relaxed
New Order,Your Silent Face,sad
The Clash,I'm So Bored With The U.S.A.,sad
Greg Laswell,Off I Go,sad
Justice,Civilization,angry
Sia,I Go To Sleep,relaxed
The Big Pink,Love In Vain,happy
Interpol,Safe Without,relaxed
Morcheeba,Sao Paulo,angry
Jeff Buckley,Grace,angry
Cold War Kids,Hospital Beds,angry
Air,Sexy Boy,happy
Maps,It Will Find You,happy
Air,Napalm Love,happy
Eric Clapton,Bad Love,happy
Elton John,Sorry Seems To Be The Hardest Word,sad
The Meters,Chicken Strut,sad
Wanda Jackson,Nervous Breakdown,angry
M.I.A.,Fire Fire,angry
Andreya Triana,X,sad
Peggy Sue,Matilda,sad
Z.Z. Hill,Down Home Blues,relaxed
Ryan Adams & The Cardinals,Fix It,happy
The Robert Cray Band,Smoking Gun,angry
Huey,When I Hustle ,relaxed
Parlours,I Dream Of Chicago,relaxed
Three Dog Night,The Family Of Man,relaxed
Vince Gill,Take Your Memory With You,sad
Faith Hill,Take Me As I Am,relaxed
Strike Anywhere,The Promise,sad
Elefante,El Abandonao,sad
Kenny Rogers,Love Lifted Me,happy
L.A. Guns,Kiss My Love Goodbye,happy
James Ingram,I Don't Have The Heart,happy
