Artist,Title,Mood
Nelly,Party People ,happy
The Dirty Dozen Brass Band,Ruler Of My Heart ,angry
The Pretenders,Kid,sad
The Drifters,Save The Last Dance For Me,relaxed
Ray LaMontagne,Three More Days,relaxed
Marvin Gaye,Come Live With Me Angel,relaxed
Donnie McClurkin,Great And Mighty Is Our God,happy
Maysa,Out Of The Blue,happy
Lykke Li,Youth Knows No Pain,angry
Darker My Love,Waves,sad
Death By Stereo,Welcome To The Party,angry
Marsha Ambrosius,Lose Myself,happy
Dave Alvin,Black Sky,relaxed
Mission Of Burma,Donna Sumeria,happy
The Blues Brothers,Sweet Home Chicago,relaxed
Ratatat,Seventeen Years,sad
Six Feet Under,Seed Of Filth,sad
Telekinesis,I Got You,relaxed
Ceo,White Magic,relaxed
Obits,Back And Forth,sad
Surfer Blood,Take It Easy,relaxed
Elliott Smith,Needle In The Hay,sad
The Smiths,Ask,angry
Discovery,So Insane,angry
Mustafa Sandal,Kalmadi,sad
Ratt,You're In Love,happy
Charlie Gracie,Butterfly,relaxed
Jose Jose,Tu Me Estas Volviendo Loco,sad
Juan Luis Guerra,El Costo De La Vida,sad
Ricky Martin,Con Tu Nombre,sad
Marvin Gaye,Pride And Joy ,happy
Queen Latifah,Simply Beautiful ,happy
The Blind Boys Of Alabama,Down By The Riverside ,angry
Gloria Lynne,I'm Glad There Is You,happy
The Tymes,So Much In Love,happy
Elvis Presley,Love Me Tender,happy
Roy Orbison,Dream Baby ,relaxed
The Allman Brothers Band,Revival,happy
The Blackbyrds,Happy Music,happy
Ray Charles,Crazy Love ,happy
The Whispers,My Heart Your Heart,happy
Blackstreet,Joy,happy
U2,The Three Sunrises,happy
Morrissey,"The More You Ignore Me, The Closer I Get",angry
Fenix TX,All My Fault,sad
Take 6,You Don't Have To Be Afraid,angry
NLT,That Girl,relaxed
J. Valentine,She Worth The Trouble,angry
John Brown,Imma Love You Right,happy
Los Super Reyes,El Rey ,sad
Death Cab For Cutie,Someday You Will Be Loved,happy
Daryle Singletary,Amen Kind Of Love,relaxed
Lonestar,Tell Her,happy
Lemon Jelly,Space Walk,happy
Gregory Porter,Lonely One,sad
Sinead O'Connor,War,angry
Charles Bradley,I Believe In Your Love,happy
The Grateful Dead,Fire On The Mountain,angry
Dixie Chicks,There's Your Trouble,angry
Loretta Lynn,Trouble On The Line,angry
The Midnighters,Sexy Ways ,happy
The Diamonds,The Stroll,relaxed
Little Richard,Long Tall Sally,happy
Mike Reno & Ann Wilson,Almost Paradise,relaxed
Gregg Allman,I Believe I'll Go Back Home,relaxed
Stevie Wonder,Creepin',relaxed
Duffy,Rockferry,relaxed
Justin Bieber,One Less Lonely Girl,sad
Silversun Pickups,Growing Old Is Getting Old,angry
Carney,Love Me Chase Me,relaxed
Bobby Helms,My Special Angel,relaxed
Clay Walker,I Can't Sleep,relaxed
Mutemath,The Nerve,angry
The Mars Volta,Asilos Magdalena,sad
Solid Gold,Who You  Gonna Run To?,angry
Karyn White,The Way You Love Me,happy
Nina Simone,House Of The Rising Sun,relaxed
The Breeders,New Year,relaxed
Miss Kittin & The Hacker,Indulgence,happy
The Concretes,You Can't Hurry Love,happy
Dr. Dog,Ain't It Strange,relaxed
Balkan Beat Box,War Again,angry
Death Cab For Cutie,We Laugh Indoors,happy
The Kills,U.R.A. Fever,sad
Mickey Gilley,Lonely Nights,sad
Toots & The Maytals,True Love Is Hard To Find ,happy
Crowded House,Fall At Your Feet,sad
Ten Years After,I'm Going Home,relaxed
Donavon Frankenreiter,"Life, Love & Laughter",happy
Mary Mary,Ordinary People,happy
Nat King Cole,Brazilian Love Song ,relaxed
Nnenna Freelon,If I Only Had A Brain ,angry
Nnenna Freelon,If I Only Had A Brain ,angry
Bebel Gilberto,Aganju,sad
Priestess,Lady Killer,angry
Morphine,Honey White,relaxed
Aventura,La Nina,sad
Sonic Youth,Incinerate,sad
Ladytron,Seventeen,happy
Bob Marley & The Wailers,No More Trouble,angry
Black Uhuru,I Love King Selassie,happy
Home Video,The Smoke,angry
Steel Train,I Feel Weird,angry
Louis Armstrong,Nobody Knows The Trouble I've Seen,angry
Diana Krall,My Love Is,happy
Linda Ronstadt,Little Girl Blue ,relaxed
Bobby Womack,If You Think You're Lonely Now,sad
Jermaine Jackson,Daddy's Home,relaxed
K.C. & The Sunshine Band,Do You Wanna Go Party,happy
Beyonce,I'd Rather Go Blind,relaxed
Phil Perry,If Only You Knew,happy
Buffalo Springfield,I Am A Child,relaxed
Pink Floyd,Pigs On The Wing 1,sad
The Association,Never My Love,happy
Ray Charles,Lonely Avenue,sad
Jakob Dylan,Gimme Some Truth ,relaxed
Willie Nelson,Night Life,happy
Gorillaz,Some Kind Of Nature ,relaxed
The Pains Of Being Pure At Heart,Everything With You,sad
We Were Promised Jetpacks,Ships With Holes Will Sink,sad
The Duke Spirit,The Step And The Walk,happy
Sharon Jones & The Dap-Kings,Mama Don't Like My Man,relaxed
Wolf Parade,This Heart's On Fire,angry
Ike & Tina Turner,I've Been Loving You Too Long,happy
Air,Love,happy
Kurt Elling,Say It ,happy
Norah Jones,Shoot The Moon,sad
Lou Rawls,You've Made Me So Very Happy,happy
Mary J. Blige,A Dream,relaxed
Nyasia,Who's Got Your Love,happy
Destruction,Hate Is My Fuel,angry
Dan Deacon,Okie Dokie,angry
Innerpartysystem,American Trash,sad
Thompson Square,Let's Fight,angry
Bay City Rollers,Money Honey,relaxed
Frankie Ruiz,Lo Dudo,sad
Magneto,La Puerta Del Colegio,sad
Santana,I Don't Wanna Lose Your Love ,relaxed
Kiss,C'mon And Love Me,happy
The Rolling Stones,Sway,angry
Machine Head,Ten Ton Hammer,angry
System Of A Down,War?,angry
Bullet For My Valentine,Scream Aim Fire,angry
Kansas,Fight Fire With Fire,angry
The Beatles,Real Love,happy
The Roots,The Fire ,angry
The Used,Burning Down The House,angry
Los Bukis,Contra Viento Y Marea,sad
Anna Calvi,No More Words,happy
Anna Calvi,Desire,angry
Ricardo Arjona,La Mujer Que No Sone,sad
Gang Of Four,Natural's Not In It,happy
Stevie Wonder,Ordinary Pain,angry
Jackie Wilson,To Be Loved,happy
Death,Painkiller,angry
Bayside,Already Gone,sad
S. Carey,In The Dirt,sad
Maps & Atlases,Living Decorations,sad
Metallica,Free Speech For The Dumb,relaxed
Tesla,Paradise,relaxed
Aretha Franklin,See Saw,happy
The Beatles,Your Mother Should Know,happy
Alice Cooper,You Drive Me Nervous,angry
Jill Scott,Hate On Me,angry
Hooverphonic,2wicky,angry
Kraak & Smaak,Keep Me Home ,relaxed
The Cure,All Cats Are Grey,sad
Crystal Castles,Vietnam,happy
The Lemonheads,Dirty Robot,sad
Pavement,Unfair,sad
Basement Jaxx,Good Luck ,relaxed
Machine Head,Clenching The Fists Of Dissent,angry
Patti LaBelle,Over The Rainbow,relaxed
Avenged Sevenfold,God Hates Us,angry
Fear Factory,Fear Campaign,angry
Dropkick Murphys,Peg O' My Heart,happy
Stevie Wonder,Happy Birthday,happy
Kem,Love Never Fails,happy
Ray Charles,Sorry Seems To Be The Hardest Word ,sad
Aaron Hall,All The Places ,happy
Starfucker,Astoria,happy
Anna Calvi,The Devil,angry
Johnny Preston,Running Bear,relaxed
The Five Keys,The Glory Of Love,happy
Metric,Monster Hospital,angry
The Used,Blue And Yellow,sad
Lucinda Williams,Kiss Like Your Kiss,happy
Waka Flocka Flame,Bang ,sad
Randy Newman,It's Money That I Love,happy
Korn,Blind,sad
Mastodon,Colony Of Birchmen,sad
Anita Baker,Lead Me Into Love,happy
Jaill,The Stroller,angry
Cut Copy,Hearts On Fire,angry
Fleetwood Mac,Showbiz Blues,relaxed
Massive Attack,Angel,happy
The Cardigans,Carnival,happy
Women,Locust Valley,sad
The Flamingos,I'll Be Home,relaxed
John Mayer,Perfectly Lonely,sad
Paul McCartney,Another Day,sad
Band Of Horses,Is There A Ghost,relaxed
Robbie Robertson,Sweet Fire Of Love,angry
Procol Harum,Conquistador,sad
Exodus,Bonded By Blood,sad
Lionel Richie,Deep River Woman,relaxed
Iron Maiden,Be Quick Or Be Dead,angry
Deadmau5,Outta My Life,sad
Eliza Gilkyson,Looking For A Place,sad
Calexico,Victor Jara's Hands,sad
Warren Haynes,On A Real Lonely Night,sad
Otis Redding,Let Me Come On Home,relaxed
Sade,Love Is Found,happy
Z-Trip,Walking Dead ,angry
Cristian,Amor,sad
Aterciopelados,Rompecabezas,sad
Eric Clapton,Let It Grow,relaxed
Avenged Sevenfold,Nightmare,angry
Scorpions,Rock You Like A Hurricane,angry
Papa Roach,Burn,angry
Doors,Love Her Madly,happy
Cult,Fire Woman,angry
Machine Head,Aesthetics Of Hate,angry
Dir En Grey,C,angry
Red Hot Chili Peppers,Scar Tissue,sad
Doors,Light My Fire,angry
Smashing Pumpkins,Bullet With Butterfly Wings,angry
Mudvayne,Scream With Me,angry
Chevelle,Send The Pain Below,angry
Motley Crue,Home Sweet Home,relaxed
Rolling Stones,Gimme Shelter,angry
Kiss,King Of The Night Time World,relaxed
Grupo Bryndis,Asi Es El Amor,sad
Los Angeles Negros,A Ti,sad
R. Kelly,Touched A Dream,relaxed
Women,Narrow With The Hall,sad
Burial,Ghost Hardware,happy
My Bloody Valentine,Soon,angry
The Pains Of Being Pure At Heart,Even In Dreams,angry
Elf Power,Let The Serpent Sleep,relaxed
Andrew Bird,Simple X,angry
The Beatles,For You Blue,relaxed
Bobby Vinton,My Melody Of Love,happy
Arc Angels,Shape I'm In,happy
Bob Dylan,"Corrina, Corrina",relaxed
Steel Panther,Death To All But Metal,sad
Sheryl Crow,Killer Life,angry
Big Head Todd & The Monsters,Please Don't Tell Her,happy
Aaron Lewis,Massachusetts,relaxed
Fleetwood Mac,Songbird,happy
Boston,Party,happy
The Beatles,Maxwell's Silver Hammer,sad
The Who,Gettin' In Tune,relaxed
Rene & Angela,I Love You More,happy
Chaka Khan,Got To Be There,relaxed
Shalamar,Somewhere There's A Love,happy
Tiesto,Who Wants To Be Alone ,relaxed
George Duke,Listen Baby,relaxed
Musiq,Girl Next Door ,relaxed
The Cure,The Perfect Girl,relaxed
Martha & The Muffins,Echo Beach,relaxed
Devo,Girl U Want,relaxed
Ben Harper & The Innocent Criminals,Fight Outta You,angry
Ginuwine,Trouble ,angry
Tool,Part Of Me,sad
Zapp & Roger,Slow And Easy,relaxed
Patti LaBelle,When You Talk About Love,happy
Mila J,No More Complaining,sad
Musiq,Settle For My Love ,happy
Brook Benton,Thank You Pretty Baby,happy
Pink Floyd,Set The Controls For The Heart Of The Sun,happy
Austrian Death Machine,It's Not A Tumor ,angry
Walls Of Jericho,A Trigger Full Of Promises,angry
Firehouse,Love Of A Lifetime,happy
Jo Dee Messina,Burn,angry
Chimaira,Power Trip,angry
Radiohead,Go To Sleep,sad
Can,Moonshake,relaxed
Nouvelle Vague,Ever Fallen In Love?,happy
Matt & Kim,Don't Slow Down,sad
New Found Glory,It's Not Your Fault,sad
LCD Soundsystem,Disco Infiltrator,sad
Kisses,People Can Do The Most Amazing Things,angry
Hot Chip,We Have Love,happy
Starfucker,The White Of Noon,angry
Wilson Pickett,I'm In Love,happy
The Black Dahlia Murder,What A Horrible Night To Have A Curse,sad
New York Dolls,Trash,sad
Howlin' Wolf,Built For Comfort,relaxed
Alela Diane,To Begin,sad
Menomena,Lunchmeat,sad
Malachai,Rainbows ,relaxed
Frightened Rabbit,Fast Blood,angry
Reba McEntire,I'm Not That Lonely Yet,sad
Michael Bolton,To Love Somebody,happy
Lupe Fiasco,Intruder Alert ,angry
The Everly Brothers,Let It Be Me,happy
Tiziano Ferro,Tardes Negras,sad
Kyle Riabko,What Did I Get Myself Into,relaxed
Donnie McClurkin,I Love To Praise Him,happy
The Foreign Exchange,If This Is Love ,happy
Israel Houghton,Our God,happy
Kid Rock,Feel Like Makin' Love,happy
Connie Smith,Just For What I Am,happy
Of Montreal,Doing Nothing,sad
Gold Motel,The Cruel One,sad
Rotten Sound,Scared,angry
Wolf Parade,I'll Believe In Anything,angry
The Rapture,House Of Jealous Lovers,relaxed
Best Coast,Happy,happy
OFF!,Poison City,angry
Cradle Of Filth,Nymphetamine,sad
Mount Moriah,Lament,angry
Low,Just Stand Back,sad
Bright Eyes,Devil Town,angry
Daft Punk,Something About Us,happy
LCD Soundsystem,Too Much Love,happy
Fenech-Soler,Contender,angry
Luis Fonsi,Abrazar La Vida,sad
Faith Hill,Joy To The World,happy
Faith Hill,Where Are You Christmas?,happy
John Lennon,Love,happy
D'Angelo,Cruisin',happy
John Lennon,Happy Xmas ,happy
Eric Lindell,Lullaby For Mercy Ann,happy
Anti-Flag,Turncoat,angry
Dottie Peoples,Happy In Jesus,happy
CeCe Winans,Away In A Manger,relaxed
Brian McKnight,Because Of His Love,happy
Israel & New Breed,Have Yourself A Merry Little Christmas,happy
Daryl Hall & John Oates,Home For Christmas,relaxed
"Harry Connick, Jr.",Blue Christmas,relaxed
Kenny G,Joy To The World,happy
Peter White,Silent Night,relaxed
Vanessa Williams,Joy To The World ,happy
Frank Sinatra,Have Yourself A Merry Little Christmas,happy
Mariah Carey,Joy To The World,happy
Mariah Carey,Silent Night,relaxed
Rascal Flatts,I'll Be Home For Christmas,relaxed
Kenny Rogers & Dolly Parton,With Bells On,relaxed
Alan Jackson,Let It Be Christmas,happy
Kenny Chesney,Pretty Paper,relaxed
Jo Dee Messina,Silent Night,relaxed
The Carpenters,Have Yourself A Merry Little Christmas,happy
Casting Crowns,Silent Night,relaxed
Jim Brickman,Sending You A Little Christmas,relaxed
Lanae' Hale,Carol Of The Bells,happy
James Taylor,Have Yourself A Merry Little Christmas,happy
Bing Crosby,I Wish You A Merry Christmas,happy
Andy Williams,Silent Night,relaxed
Josh Groban,Silent Night,relaxed
"Peter, Paul & Mary",We Wish You A Merry Christmas ,happy
Coldplay,Have Yourself A Merry Little Christmas,happy
Amy Grant,Silent Night,relaxed
Vince Gill,Let There Be Peace On Earth,relaxed
Stevie Wonder,One Little Christmas Tree,relaxed
Six Feet Under,Shadow Of The Reaper,sad
David Crowder Band,Feliz Navidad,happy
Sanctus Real,Silent Night,relaxed
Out Of Eden,O Little Town Of Bethlehem,relaxed
Sara Groves,Child Of Love,happy
Stacie Orrico,Love Came Down,happy
Michael McDonald,I'll Be Home For Christmas,relaxed
The Jackson 5,Give Love On Christmas Day,happy
The Jackson 5,Have Yourself A Merry Little Christmas,happy
Frank Sinatra,Silent Night,relaxed
Bing Crosby,Happy Holidays ,happy
Sammy Kershaw,Christmas Time's A Comin',happy
Lonestar,All My Love For Christmas,happy
Obituary,Slowly We Rot,angry
Black Eyed Peas,Power To The People,happy
Regina Spektor,Real Love,happy
Jane Monheit,Have Yourself A Merry Little Christmas,happy
Los Lonely Boys,Feliz Navidad,happy
Underworld,Beautiful Burnout,relaxed
Crystal Castles,Alice Practice,sad
The Chemical Brothers,Another World,happy
Randy Travis,White Christmas Makes Me Blue,relaxed
Lady Antebellum,Blue Christmas,relaxed
Rose,Sombre Con,sad
Talking Heads,Blind,sad
Queen,Thank God It's Christmas,happy
Beck,Nobody's Fault But My Own,sad
King Crimson,Matte Kudasai,sad
Chris Tomlin,Joy To The World ,happy
Dave Barnes,Family Tree,relaxed
MERCY ME,Joseph's Lullaby,relaxed
Brooklyn Tabernacle Choir,Happy Birthday Jesus,happy
Matt Maher,Empty & Beautiful,angry
The Temptations,Give Love On Christmas Day,happy
Ledisi,Silent Night,relaxed
Ledisi,Have Yourself A Merry Little Christmas,happy
The O'Jays,Christmas Ain't Christmas ,happy
Ledisi,What A Wonderful World,relaxed
The Damned Things,Handbook For The Recently Deceased,angry
Jaci Velasquez,Feliz Navidad,happy
Luis Miguel,Ayer,sad
Yolanda Adams,Give Love On Christmas Day,happy
Slaughter,Mad About You,angry
The Ramones,Merry Christmas ,happy
B.B. King,Merry Christmas Baby,happy
"Harry Connick, Jr.",This Christmas,happy
Gloria Estefan,This Christmas,happy
Diana Krall,Have Yourself A Merry Little Christmas,happy
Curtis Lee,Pretty Little Angel Eyes,happy
Mountain,Theme From An Imaginary Western,sad
Bing Crosby,Silent Night,relaxed
Th' Legendary Shack Shakers,Swampblood,sad
Aretha Franklin,I'm In Love,happy
Karrin Allyson,Everything Must Change,relaxed
JJ Grey & Mofro,On Fire,angry
Elvis Costello,One Bell Ringing,sad
Mudcrutch,Crystal River,relaxed
Louis Armstrong,What A Wonderful World,relaxed
The Rolling Stones,Going Home,relaxed
Elvis Presley,Blue Christmas ,relaxed
Brooks & Dunn,Blue Christmas,relaxed
Randy Travis,Pretty Paper,relaxed
Slayer,Warzone,angry
Meat Loaf,Hot Patootie-Bless My Soul,relaxed
The Prodigy,Girls,happy
Susan Boyle,Silent Night,relaxed
Vince Gill,Blue Christmas,relaxed
Ricky Van Shelton,Blue Christmas,relaxed
Clay Walker,Blue Christmas,relaxed
Mick Hucknall,Ain't That Lovin' You,happy
Luther Vandross,Got You Home,relaxed
Marques Houston,Favorite Girl,relaxed
Boney James,Love Song ,happy
Blonde Redhead,Love Or Prison,happy
Goldfrapp,Little Bird,relaxed
Smashing Pumpkins,Soma,angry
Moby,Nearer,relaxed
Cheap Trick,Auf Wiedersehen,angry
Blonde Redhead,Here Sometimes,relaxed
Zero 7,Ghost Symbol,relaxed
Nirvana,Frances Farmer Will Have Her Revenge On Seattle,sad
Nouvelle Vague,Making Plans For Nigel,happy
The Cure,Prayers For Rain,sad
Band Of Horses,The Funeral,sad
Barcelona,Colors,angry
Joan Sebastian,Oyeme Chatita,sad
Vicente Fernandez,Si Te Vas No Hay Lio,sad
The Mamas & The Papas,Words Of Love,happy
Armored Saint,Reign Of Fire,angry
Billie Holiday,Am I Blue?,sad
Solomon Burke,None Of Us Are Free,relaxed
The Little Willies,Night Life,happy
Madeleine Peyroux,Careless Love,happy
Ella Fitzgerald,Solitude ,sad
Heart,How Can I Refuse,angry
Cat Stevens,Sad Lisa,sad
Rush,Cold Fire,angry
The Mighty Mighty Bosstones,So Sad To Say,sad
Wire,Feeling Called Love,happy
Lykke Li,My Love,happy
The Beatles,Her Majesty,relaxed
Jose Feliciano,La Copa Rota,sad
The Beach Boys,Surfer Girl,relaxed
Billie Holiday,I Hear Music,relaxed
Aretha Franklin,Baby I Love You,happy
Kool & The Gang,Victory,happy
Willie Nelson & Wynton Marsalis,Night Life,happy
J Dilla,Two Can Win,happy
George Harrison,You,happy
Kem,When I'm Loving You,relaxed
Natalie Merchant,"Crying, My Little One",relaxed
All-4-One,So Much In Love,happy
Lacy J. Dalton,Takin' It Easy,relaxed
Beach House,Gila,sad
Jenny And Johnny,While Men Are Dreaming,relaxed
Royksopp,It's What I Want,relaxed
OK Go,All Is Not Lost,angry
Rogue Wave,Endless Shovel,sad
Daft Punk,Steam Machine,sad
Clap Your Hands Say Yeah,Is This Love?,happy
The Clash,Hate And War,angry
Bauhaus,The Passion Of Lovers,angry
Huey Lewis And The News,Respect Yourself,relaxed
Ted Leo & The Pharmacists,Army Bound,sad
Cat Power,He War,angry
Jack Jones,Love Boat Theme,happy
The Kinks,Set Me Free,relaxed
Antony & The Johnsons,Shake That Devil,relaxed
Foxy Shazam,Unstoppable,sad
The Pixies,La La Love You,happy
The Breeders,Do You Love Me Now?,happy
Mark Ronson,Just ,sad
Chris Knight,A Pretty Good Guy,happy
Daft Punk,Revolution 909,relaxed
Broadcast,Tender Buttons,sad
Ted Leo & The Pharmacists,The Ballad Of The Sin Father,angry
Axwell,Nothing But Love ,happy
Twisted Sister,Burn In Hell,angry
Exodus,The Toxic Waltz,angry
The Red Hot Chili Peppers,Fire,angry
Dum Dum Girls,I Will Be,relaxed
Bowerbirds,House Of Diamonds,relaxed
Bullet For My Valentine,Alone,sad
TKA,Louder Than Love,happy
Tom Jones,Without Love ,happy
Frankie Ruiz,La Rueda,sad
Musiq,Girl Next Door ,relaxed
Devo,Race Of Doom,angry
The Red Hot Chili Peppers,Fight Like A Brave,angry
Living Colour,Glamour Boys,relaxed
Norah Jones,The Long Way Home,relaxed
The J. Geils Band,Looking For A Love,happy
Blood Brothers,Set Fire To The Face On Fire,angry
Times Of Grace,Fight For Life,angry
Pantera,Floods,angry
Chet Baker,Let's Get Lost,angry
Sarah Vaughan,Little Girl Blue,relaxed
Coco Montoya,Love Gotcha,happy
Sepultura,Territory,angry
Feist,The Limit To Your Love,happy
Kem,Into You,relaxed
Axe Bahia,Beso En La Boca,sad
The Vaselines,Molly's Lips,happy
Dinah Washington,Blue Skies,relaxed
Jill Scott,Bedda At Home,relaxed
Mitty Collier,Sharing You,happy
Evile,Armoured Assault,angry
The Brian Jonestown Massacre,Sailor,sad
Caribou,Sun,relaxed
Dean Martin,Send Me The Pillow You Dream On,relaxed
Abysmal Dawn,The Descent,sad
The Five Keys,Close Your Eyes,happy
Ella Fitzgerald,Rocks In My Bed,relaxed
The Cure,The End of The World,happy
The Ramones,Surfin' Bird,relaxed
Bloc Party,Banquet,angry
The Kooks,If Only,angry
The White Tie Affair,Candle ,sad
Keane,This Is The Last Time,sad
Smashing Pumpkins,I Am One,angry
Bif Naked,Lucky,happy
Visions Of Atlantis,Twist Of Fate,angry
Wilco,War On War,angry
Jenny Lewis,Pretty Bird,relaxed
Visions Of Atlantis,Conquest Of Others,angry
Steel Train,Firecracker,sad
Cavalera Conspiracy,Blunt Force Trauma,angry
Mastodon,Iron Tusk,angry
Luis Enrique,San Juan Sin Ti,sad
Alejandra Guzman,Hacer El Amor Con Otro,sad
Neil Diamond,Kentucky Woman,relaxed
Tinariwen,Matadjem Yinmixan,angry
Charles Bradley,Heart Of Gold ,happy
Joan Armatrading,Love And Affection,happy
Blood Brothers,Love Rhymes With Hideous Car Wreck,happy
Miike Snow,Burial,angry
Alice Russell,Hurry On Now,sad
Dixie Chicks,I Can Love You Better,happy
Darryl Worley,Family Tree,relaxed
Chris Ledoux,Hooked On An 8 Second Ride,angry
The Brian Jonestown Massacre,Wisdom,happy
Brooks & Dunn,We'll Burn That Bridge,angry
The Ting Tings,That's Not My Name,sad
John Gold,Baby It's Your Life,happy
Richie Havens,Here Comes The Sun,relaxed
Sophie Milman,I'm On Fire,angry
Metallica,Seek &#x26; Destroy,angry
Radiohead,Nude,sad
Crocodiles,All My Hate And My Hexes Are For You,angry
Austra,Spellwork,angry
The Suburbs,Love Is The Law,happy
The Kinks,Everybody's Gonna Be Happy,happy
VHS Or Beta,Love In My Pocket,happy
The Flaming Lips,Sagittarius Silver Announcement,relaxed
Lee Andrews & The Hearts,Long Lonely Nights,sad
Kraftwerk,Neon Lights,sad
The Grateful Dead,Till The Morning Comes,relaxed
Caribou,Sun,relaxed
Timi Yuro,Hurt,angry
Eric Benet,Hurricane,angry
David Rock Feinstein,Metal Will Never Die ,sad
Byron Cage,Glory To Your Name,happy
Martha & The Vandellas,I'm Ready For Love,happy
No Age,Things I Did When I Was Dead,angry
The Raveonettes,Evil Seeds,angry
Atreyu,Lonely,sad
Finger Eleven,Stay In Shadow,sad
Lacuna Coil,I Won't Tell You,angry
Serj Tankian,Sky Is Over,relaxed
Buckcherry,Broken Glass,sad
Joss Stone,Bruised But Not Broken,angry
Janet Jackson,Because Of Love,happy
Framing Hanley,You Stupid Girl,sad
Los Primos De Durango,Se Me Antoja Tu Piel,sad
Alexander O'Neal,Innocent,relaxed
Raheem DeVaughn,Nobody Wins A War ,angry
Prince,Sexy Dancer,happy
Ledisi,Love Never Changes,happy
Unwritten Law,Save Me,sad
Gwar,A Gathering Of Ghouls,angry
BarlowGirl,Stay With Me,angry
British Sea Power,Oh Larsen B,sad
Neil Young,Angry World,angry
Sneaker Pimps,Bloodsport,happy
Yeah Yeah Yeahs,Dull Life,angry
Chalino Sanchez,Corazoncito Tirano,sad
J Dilla,U-Love,happy
Wavves,Super Soaker,sad
Film School,Sunny Day,happy
Belle & Sebastian,The Ghost Of Rockschool,relaxed
M. Ward,Blake's View,sad
Hannah Montana,Gonna Get This ,relaxed
Joyce Sims,All And All,relaxed
Skillet,Live Free Or Let Me Die,angry
The Smithereens,Too Much Passion,happy
Bobby Womack,Lookin' For A Love,happy
Vanessa Williams,Lazy Afternoon,sad
"Harry Connick, Jr.",Just Kiss Me,happy
Jonathan Nelson,How Great Is Our God ,happy
Buddy Guy,I Smell Trouble,angry
The Prodigy,One Love,happy
The Vaselines,You Think You're A Man,relaxed
Mishka,Above The Bones,relaxed
Azure Ray,The Drinks We Drank Last Night,sad
The Flaming Lips,The Sparrow Looks Up At The Machine,sad
Tommy Dorsey & His Orchestra,I'll Never Smile Again,happy
Louis Armstrong,We Have All The Time In The World,happy
Alkaline Trio,Time To Waste,sad
Marc Anthony,Hasta Que Vuelvas Conmigo ,sad
The Carpenters,Ticket To Ride,sad
Jazmine Sullivan,After The Hurricane,angry
Beres Hammond,Try If You Want,angry
Alaine,Heavenly,happy
John Pizzarelli,Happy Talk,relaxed
Ray Charles,Somewhere Over The Rainbow ,relaxed
U2,Pride ,happy
Guns N' Roses,Paradise City ,relaxed
Skeeter Davis,I Can't Stay Mad At You,angry
Cascada,Miracle,happy
Teddy Pendergrass,"Easy, Easy, Got To Take It Easy",relaxed
Armin Van Buuren,In And Out Of Love,happy
Glen Campbell,Dream Baby ,relaxed
Disturbed,Believe,angry
Los Traileros Del Norte,Anoche Estuve Llorando,sad
Queen Latifah,Weekend Love,happy
The Beatles,I'm Happy Just To Dance With You,happy
Midlake,Head Home,relaxed
Joan Sebastian,Amor Limosnero,sad
The Kills,Getting Down,angry
Slayer,Necrophobic,sad
