Artist,Title,Mood
Tame Impala,The Bold Arrow Of Time,sad
Buke And Gass,Naked Cities,sad
We Are Scientists,Pittsburgh,relaxed
Orange Juice,Falling And Laughing,angry
Two Door Cinema Club,Undercover Martyn,sad
Catie Curtis,My Shirt Looks Good On You,happy
Raul Malo,You're Only Lonely,sad
In This Moment,Beautiful Tragedy,angry
Broken Social Scene,Fire Eye'd Boy,angry
Dave Matthews & Tim Reynolds,Crash Into Me,angry
Andy Williams,Butterfly,relaxed
Luis Miguel,Cruz De Olvido,sad
The Smiths,Meat Is Murder,sad
Ellie Goulding,Your Biggest Mistake,sad
Hey Champ,Cold Dust Girl,sad
La Sera,Been Here Before,happy
Eisley,Sad,sad
Railroad Earth,Hard Livin',sad
Ben Kweller,Fight,angry
Cat Power,Sea Of Love,happy
Warbringer,Total War,angry
Fruit Bats,Legs Of Bees,sad
Sons And Daughters,Johnny Cash,relaxed
The Fixx,Deeper And Deeper ,sad
Devo,Beautiful World,happy
Starfucker,Millions,angry
Pink Floyd,Chapter 24,relaxed
Panda Bear,Search For Delicious,angry
Black Rebel Motorcycle Club,Ain't No Easy Way,relaxed
Neil Young,Only Love Can Break Your Heart,happy
ABC,Poison Arrow,angry
TLC,Sleigh Ride,happy
Alejandro Escovedo,Anchor,happy
Peggy Lee,Happy Holiday,happy
Bloodsimple,Falling Backwards,angry
Toby Beau,My Angel Baby,relaxed
Jon Secada,Feliz Navidad,happy
Jeffrey Osborne,Don't You Get So Mad,angry
James Brown,Christmas In Heaven,happy
Ann & Nancy Wilson,Blue Christmas,relaxed
Julianne Hough,Feliz Navidad,happy
ZZ Top,Arrested For Driving While Blind,sad
Fear Factory,Self Bias Resistor,angry
James Brown,Soulful Christmas,happy
Lady Gaga,The Fame,happy
Inna,Amazing,angry
Kaskade,Fire In Your New Shoes ,angry
Michael McDonald,One Gift,happy
Jeff Lorber,Reflections,relaxed
Whitney Houston,Have Yourself A Merry Little Christmas,happy
Kenny Rogers & Dolly Parton,Christmas Without You,happy
Jose Luis Perales,El Amor,sad
Def Leppard,Comin' Under Fire,angry
Alicia Keys,That's How Strong My Love Is,happy
Bruce Channel,Hey! Baby,relaxed
Sara Bareilles & Ingrid Michaelson,Winter Song,happy
Ledisi,Give Love On Christmas Day,happy
Echoing Angels,God Bless Us,relaxed
Al Jarreau,White Christmas,relaxed
The Temptations,Christmas Everyday,happy
The Supremes,My Christmas Tree,relaxed
Bronco,Cinco Locos,sad
Dethklok,Burn The Earth,angry
Peter White,Silent Night ,relaxed
Wayne Brady,Can't Buy Me Love,happy
Luther Vandross,A Kiss For Christmas,happy
Boyz II Men,What You Won't Do For Love,happy
Luther Vandross,With A Christmas Heart,happy
Wilson Phillips,Silent Night,relaxed
LeAnn Rimes,All I Want For Christmas,relaxed
"Harry Connick, Jr.",The Happy Elf,happy
Jackie Evancho,Silent Night,relaxed
David Crowder Band,Our Love Is Loud,happy
Point Of Grace,Joy To The World,happy
Trans-Siberian Orchestra,This Christmas Day,relaxed
Trans-Siberian Orchestra,Christmas Jam,happy
Celine Dion,Don't Save It All For Christmas Day,happy
John Denver & The Muppets,We Wish You A Merry Christmas,happy
Vince Gill,Do You Hear What I Hear,relaxed
"Harry Connick, Jr.",Silent Night,relaxed
Rachelle Ferrell,You Send Me,happy
Ella Fitzgerald,Take Love Easy ,relaxed
Don Henley,Taking You Home,relaxed
Gloriana,Silent Night,relaxed
Dean Martin,Silent Night,relaxed
Jerry Lee Lewis,"Another Place, Another Time",sad
Elvis Presley,For The Heart,happy
Johnny Cash,Blue Christmas,relaxed
Johnny Cash,The Gifts They Gave,relaxed
The Staple Singers,Respect Yourself,relaxed
Dashboard Confessional,Vindicated,sad
Carrie Underwood,Home Sweet Home,relaxed
Hey Monday,How You Love Me Now,relaxed
Janelle Monae,Cold War,angry
The Ramones,53rd & 3rd,sad
Asobi Seksu,Thursday,sad
Mastodon,Crusher Destroyer,angry
Symphony X,Serpent's Kiss,angry
Geoff Bullock,The Power Of Your Love,happy
Keb' Mo',The Door,sad
Lindsey Buckingham,Go Insane,angry
The Temper Trap,Love Lost,angry
Karen O And The Kids,All Is Love,happy
The Go! Team,Rolling Blackouts,sad
Kaiser Chiefs,Oh My God,relaxed
Editors,No Sound But The Wind,angry
Tony Bennett,Lullaby Of Broadway ,relaxed
Sara Groves,Love Is Still A Worthy Cause,happy
Animal Collective,Bleed,angry
Underworld,Hamburg Hotel,sad
Caribou,Found Out,sad
Iggy & The Stooges,Gimme Danger,angry
Rachelle Ferrell,Extensions,happy
Cassandra Wilson,Black Orpheus,sad
Gregg Allman,My Love is Your Love,happy
JJ Grey & Mofro,Lullaby,relaxed
Bettye Lavette,Joy,happy
Cowboy Junkies,Flirted With You All My Life,sad
Nitzer Ebb,Join In The Chant,angry
Paris Hilton,Fightin' Over Me ,angry
Killing Joke,The Death And Resurrection Show,angry
Eskmo,Starships,happy
Film School,Two Kinds,happy
Jet,Black Hearts ,angry
Rev Theory,Broken Bones,angry
Cold,Suffocate,angry
Nick Lowe,Without Love,happy
Slayer,Evil Has No Boundaries,angry
Emilio Navaira,No Es El Fin Del Mundo ,sad
Queen,Play The Game,happy
Cafe Tacuba,Las Persianas,sad
Weekend,End Times,sad
Exene Cervenka,Beyond You,happy
The Autumn Defense,Step Easy,relaxed
The Beatles,Free As A Bird,relaxed
Irma Thomas,Same Old Blues,sad
Jimi Hendrix,Who Knows,relaxed
Cloud Nothings,Old Street,relaxed
Vivian Girls,All The Time,sad
The Avalanches,Flight Tonight,angry
Melody Gardot,Love Me Like A River Does,happy
Bruce Springsteen & The E Street Band,Fire ,angry
Ruben Blades,El Padre Antonio Y El Monaguillo Andres,sad
3 Inches Of Blood,Trial Of Champions,angry
Forbidden,Forsaken at the Gates,sad
Ingrid Michaelson,Everybody,happy
Serena Ryder,Little Bit Of Red,relaxed
Patty Griffin,You'll Remember,sad
Bobby Darin,Blue Skies,relaxed
Kirk Whalum,Inside ,relaxed
Fear Factory,Replica,angry
Dolly Parton,It's Sure Gonna Hurt ,angry
Arch Enemy,I Will Live Again,angry
The Clark Sisters,Jesus Is A Love Song,happy
Black Dub,Canaan,happy
Joan Armatrading,A Woman In Love,happy
The Innocence Mission,Gentle The Rain At Home,relaxed
John Scofield,Motherless Child,relaxed
Javier Solis,Lloraremos Los Dos,sad
Iron Maiden,The Evil That Men Do,angry
Motley Crue,White Trash Circus,sad
Aerosmith,Get A Grip,sad
Aerosmith,Fever,sad
The Allman Brothers Band,You Don't Love Me,happy
Decyfer Down,Crash,angry
Buffalo Springfield,Kind Woman,relaxed
Paul McCartney,Freedom ,happy
Robi Draco Rosa,Vagabundo,sad
Zoe,Reptilectric,sad
MDO,No Puedo Olvidarme De Ti ,sad
The Peter Malick Group,All Your Love ,happy
Braille,Counter Attack ,angry
Echo & The Bunnymen,Shroud Of Turin,happy
Dionne Warwick,This Girl's In Love With You,happy
Gary Puckett & The Union Gap,This Girl Is A Woman Now,relaxed
Cassandra Wilson,A Day In The Life Of A Fool,sad
The Ronettes,Do I Love You,happy
Danzig,Dirty Black Summer,sad
She & Him,Home,relaxed
K'Naan,Fire In Freetown,angry
Dead Confederate,Run From The Gun,angry
Love Is All,Bigger Bolder,angry
The Raveonettes,Heart Of Stone,angry
The Smiths,London,sad
Jeru The Damaja,D. Original,sad
Phyllis Hyman,"Loving You, Losing You",angry
Neko Case,Lady Pilot,angry
Jonathan Richman,I Was The One She Came For,angry
Erasure,Love To Hate You,angry
Tab Benoit,Can't You See,sad
Arthur Alexander,Soldier Of Love,happy
Mika,Happy Ending,happy
Leo Sayer,More Than I Can Say,happy
Charles Brown,Trouble Blues,angry
Poly Styrene,I Luv Ur Sneakers,happy
Nirvana,Very Ape,relaxed
Brett Dennen,Dancing At A Funeral,sad
Kem,You Might Win,happy
Motograter,Down,sad
Los Horoscopos De Durango,Ahora Que No Estas,sad
Twinkie Clark,Bless You Real Good,relaxed
Anders Osborne,Killing Each Other,angry
Steve Miller Band,Sweet Home Chicago,relaxed
Chaka Khan,Will You Love Me?,happy
Phyllis Hyman,I Don't Want To Lose You,happy
Antony Santos,"Hay De Mi, Hay De Ti",sad
Beck,Earthquake Weather,sad
Ty Segall,Sad Fuzz,sad
The Beatles,Maggie Mae,sad
The Beatles,Honey Don't,relaxed
Frankie Goes To Hollywood,Two Tribes,angry
Dierks Bentley,Pride ,happy
Tricky,Murder Weapon,angry
Nina Simone,To Love Somebody,happy
Ray Charles,Christmas In My Heart,happy
Morcheeba,Fear & Love,angry
Lamb,Gabriel,relaxed
Nouvelle Vague,This Is Not A Love Song,happy
Peggy Lee,Santa Claus Is Coming To Town,sad
Bing Crosby,God Rest Ye Merry Gentlemen,relaxed
Bad Religion,Let Them Eat War,angry
Chris Isaak,Have Yourself A Merry Little Christmas,happy
Chris Isaak,Blue Christmas,relaxed
Trans-Siberian Orchestra,The Silent Nutcracker ,relaxed
John Williams,"Merry Christmas, Merry Christmas",happy
Ultimate,It's My Birthday,happy
Sheryl Crow,Blue Christmas,relaxed
Roy Orbison,Pretty Paper,relaxed
Garth Brooks,Silent Night,relaxed
Shedaisy,That's What I Want For Christmas,happy
The Beach Boys,"Merry Christmas, Baby",happy
Johnny Gill,Give Love On Christmas Day,happy
The O'Jays,Have Yourself A Merry Little Christmas,happy
Girl In A Coma,Blue Christmas,relaxed
The Dan Band,Christmakwanzakah,happy
Led Zeppelin,Rock And Roll ,sad
Melissa Etheridge,Christmas In America,relaxed
Low,Just Like Christmas,happy
Casting Crowns,What This World Needs,happy
Nailbomb,Wasting Away,sad
James Ingram,Everything Must Change,relaxed
The Heavy,Set Me Free,relaxed
Jill Scott,It's Love,happy
Take 6,I Saw Three Ships,happy
Celine Dion,Blue Christmas,relaxed
Billy Idol,Christmas Love,happy
Brian Wilson,Silent Night,relaxed
High On Fire,Holy Flames Of The Fire Spitter,angry
Mark Ronson,Oh My God ,relaxed
Gotan Project,Peligro,sad
The Bee Gees,To Love Somebody,happy
The Beach Boys,The Warmth Of The Sun,relaxed
The Young Rascals,I've Been Lonely Too Long,sad
Jackie DeShannon,Put A Little Love In Your Heart,happy
Johnny Mathis,Heavenly Peace,relaxed
Dave Matthews & Tim Reynolds,Christmas Song,happy
Melissa Etheridge,Blue Christmas,relaxed
Willie Nelson,Blue Christmas,relaxed
Kenny Chesney,The Angel At The Top Of My Tree,relaxed
Michael Bolton,Have Yourself A Merry Little Christmas,happy
Janiva Magness,I'm Feelin' Good,relaxed
Martina McBride,Silent Night,relaxed
Blood Red Shoes,One More Empty Chair,sad
Azure Ray,Shouldn't Have Loved,happy
Buffalo Tom,Taillights Fade,sad
David Bowie,Fame,happy
Queens Of The Stone Age,"Sick, Sick, Sick",sad
Ziggy Marley,Family Time,relaxed
Conjunto Primavera,No Le Ruegues,sad
Pink Floyd,Take Up Thy Stethoscope And Walk,angry
All That Remains,Become The Catalyst,angry
The Beatles,Goodnight,relaxed
Five Finger Death Punch,Burn It Down,angry
Nirvana,Negative Creep,relaxed
Phobia,Sign Of Times,angry
M.I.A.,Bucky Done Gun,angry
Testament,Apocalyptic City ,angry
Isobel Campbell & Mark Lanegan,Honey Child What Can I Do?,sad
John Pizzarelli,This Can't Be Love,happy
Deitrick Haddon,So Good To Be In Love,happy
Will Downing,Home,relaxed
The Sex Pistols,Liar,angry
James Blake,I Mind,relaxed
Beck,He's A Mighty Good Leader,happy
Beck,I Get Lonesome,sad
Sleepy Sun,Freedom Line,relaxed
Fats Domino,I'm In Love Again,happy
Toro Y Moi,Light Black,sad
Robyn,Show Me Love,happy
Banda Pequenos Musical,Obra Maestra,sad
John Prine,Glory Of True Love,happy
Matthew Dear,Soil to Seed,sad
Tegan And Sara,I Hear Noises,sad
Band Of Horses,Islands On The Coast,relaxed
Unearth,Endless,angry
The Doors,Horse Latitudes,sad
Freda Payne,Deeper & Deeper,happy
Iron Maiden,Fear Of The Dark,angry
Ozomatli,Aqui No Sera,sad
Kenna,Better Wise Up,relaxed
George Strait,What Do You Say To That,happy
30 Seconds To Mars,Search And Destroy,angry
Muse,Take A Bow,angry
David Bowie,I'm Afraid Of Americans,angry
U2,The Refugee,angry
Lucinda Williams,Real Love,happy
Joe Jackson,The Uptown Train,sad
"Phillips, Craig & Dean",You Are My King ,happy
Hillsong,Adonai,happy
Rebecca St. James,Psalm 139,happy
BeBe & CeCe Winans,I.O.U. Me,happy
Victor Garcia,Mi Funeral,sad
Neon Indian,"Mind, Drips",sad
The Thermals,Your Love Is So Strong,happy
The Dandy Warhols,The Dope ,happy
Diana Ross & The Supremes,In And Out Of Love,happy
The Teddy Bears,To Know Him Is To Love Him,happy
Lair Of The Minotaur,Evil Power,angry
The Platters,On My Word Of Honor,happy
Jimmy Ruffin,I've Passed This Way Before,angry
Barry Manilow,I'll Never Smile Again ,happy
The Platters,With This Ring,happy
Grass Widow,Shadow,sad
The Pretenders,Thumbelina,relaxed
High On Fire,Bastard Samurai,angry
The Dead Weather,No Horse,sad
A Place To Bury Strangers,Everything Always Goes Wrong,happy
Gorillaz,Bill Murray,angry
Sherwood,Free,relaxed
Skeletonwitch,Where The Light Has Failed,angry
Thomas Dolby,Dissidents (The Search For Truth Part 1) (2009 Digital Remaster),sad
Neil Sedaka,Because Of You,happy
Keb' Mo',Dangerous Mood,relaxed
Jimi Hendrix Experience,Fire,angry
22-20s,Hold On,angry
Wyclef Jean,Midnight Lovers,sad
evanescence,my_immortal,angry
Minnie Riperton,Completeness,happy
Iggy Pop,Lust for life (recorded during the us tour in 1986),happy
The Beatles,All You Need Is Love,happy
The Gathering,Locked Away,angry
Zeromancer,The Death Of Romance,sad
System of a Down,War?,angry
Keb' Mo',The Door,sad
Usher,I'll Show You Love,happy
Junior Kimbrough,Meet Me in the City,relaxed
Bass  Fontella,Rescue Me,happy
Black Flag,Police Story,angry
Rancid,Black Lung (Album Version),sad
The Shirelles,Will You Love Me Tomorrow,happy
The Beatles,In My Life,happy
The Beatles,Golden Slumbers,relaxed
Sick Puppies,Master Of The Universe,sad
AFI,Summer Shudder,sad
The Beatles,Good Night,relaxed
The Beatles,Your Mother Should Know,happy
Blind Willie Johnson,You'll Need Somebody On Your Bond,sad
Teenage Fanclub,The Sun Shines From You,relaxed
Turtles,Happy Together,happy
Lord  Mary Lou,Lights Are Changing,sad
cardigans,lovefool,happy
Deborah Allen,I Will Always Love You,happy
The Misfits,The Haunting,sad
Sick Of It All,Consume (LP Version),sad
Atomic Rooster,Close Your Eyes,relaxed
April Wine,Caught In The Crossfire,angry
Mnegarm,Ur Sjlslig Dd,sad
Irma Thomas,Hold Me While I Cry,relaxed
Doyle Bramhall,That's How Strong My Love Is,happy
My Chemical Romance,You Know What They Do To Guys Like Us In Prison (Album Version),angry
Hank Locklin,Send Me The Pillow You Dream On,relaxed
elvis_presley,heartbreak_hotel,sad
Ensiferum,Into Battle,angry
Patty Griffin,Moses,sad
The Beatles,I Want You,angry
The Beatles,Honey Don't,relaxed
Sick Of It All,Death Or Jail,angry
Suicidal Tendencies,Human Guinea Pig,sad
John Berry,Ninety Miles An Hour,sad
roy_orbison,running_scared,angry
Sugarbomb,Posterchild for Tragedy,angry
The Beatles,Octopus's Garden,relaxed
The Beatles,For You Blue,relaxed
Funeral For A Friend,All The Rage (Clean Album Version),sad
Tommy Castro,Sho' Enough,happy
Ross  Diana & the Supremes,Baby Love,happy
P.O.D.,Wildfire (Album Version),angry
Wire,I Am the Fly,sad
Knack,Everything I Do,angry
Temple Of The Dog,Hunger Strike,sad
Queens Of The Stone Age,Everybody's Gonna Be Happy,happy
The Beatles,Love Me Do,happy
The Beatles,Yer Blues,sad
The Beatles,Wild Honey Pie,relaxed
Richard Hell & the Voidoids,Love Comes in Spurts,happy
mamas_and_the_papas,words_of_love,happy
Melvins,Gluey Porch Treatments,sad
Rancid,The Bravest Kids (Acoustic),angry
Boyz II Men,In My Life,happy
Rolling Stones,Gimme Shelter,angry
Alice Cooper,Be My Lover,relaxed
Franz Ferdinand,Do You Want To,happy
Bad Religion,Flat Earth Society (Album Version),angry
The Rascals,I'm So Happy Now (Single Version),happy
Fun Lovin' Criminals,We Have All The Time In The World (Live),happy
chantal_kreviazuk,surrounded,angry
unloco,Bystander (Album Version),relaxed
The Beatles,Can't Buy Me Love,happy
Reach 454,6 Yrs (Album Version ),angry
Aiden,Killing Machine,angry
Kris Kristofferson,Killer Barracuda,angry
Randy Stonehill,Angry Young Men (LP Version),angry
Crests  The,Sixteen Candles,happy
George Jones,Together Alone,sad
Nick Cave & The Bad Seeds,Christina The Astonishing (2010 Digital Remaster),sad
Happy Mondays,Grandbag's Funeral,relaxed
Adam Ant,Something Girls,relaxed
New Edition [US],Candy Girl,relaxed
The Beatles,The End,happy
Curtis Mayfield,People Never Give Up,angry
replacements,answering_machine,sad
3 of Hearts,Is It Love,happy
The Suicide Machines,Burning In The Aftermath,angry
Shelby Lynne,Pretend,angry
Muse,Supermassive Black Hole (Album Version),sad
Minogue  Kylie,I Should Be So Lucky,happy
Sade,Morning Bird,relaxed
Aerosmith,Janie's Got A Gun,angry
Motley Crue,Get It For Free,relaxed
Whitesnake,Love Ain't No Stranger (2003 Digital Remaster),happy
LORE,Release,happy
Bob Marley & The Wailers,Rainbow Country (Red Gold And Green Version),relaxed
Agnes,I Need You Now,sad
Silverchair,The Door,sad
Kane,My Heart's Desire,angry
L.A. Guns,Some Lie For Love,angry
Deftones,No Ordinary Love (Remastered LP Version),happy
air,sexy_boy,happy
jackson_5,abc,relaxed
Metallica,Metal Militia,sad
The Rapture,Killing,sad
Roger Clyne & The Peacemakers,Mile High and Risin',sad
Fontella Bass,Rescue Me,happy
Simply Red,Thrill Me,happy
Muse,Stockholm Syndrome,angry
Natasha Bedingfield,These Words,happy
Wings,Silly Love Songs,happy
The Clash,I'm So Bored With The U.S.A.,sad
Hatebreed,Destroy Everything (Album Version),angry
Rainbow,Still I'm Sad,sad
Placebo,The Never-Ending Why,sad
Juliette & The Licks,Shelter Your Needs,angry
Akon,Lonely,sad
Beach Boys,God Only Knows,happy
James  Elmore,Sky Is Crying,relaxed
Information Society,Make It Funky (Album Version),happy
U2,October,sad
alicia_keys,fallin,happy
Simon & Garfunkel,Patterns,sad
The Beatles,Her Majesty,relaxed
Santana,Rock Me,relaxed
Jeff Scott Soto,2 Late 4 Goodbyes,sad
Altered Images,Happy Birthday,happy
Andrew W.K.,Long Live The Party,happy
DeGarmo & Key,Out Of The Danger Zone (Degarmo And Key Album Version),angry
John Stewart,Price Of The Fire,angry
Lifer,Breathless,sad
Walter Hawkins,Never Alone,sad
Clooney  Rosemary,Come On-A My House,relaxed
Public Image Ltd,The Suit,relaxed
yeah_yeah_yeahs,maps,happy
Jars Of Clay,Love Me,happy
Midge Ure,Four,happy
Foghat,Dead End Street,sad
Evergreen Terrace,Look Up At The Stars And You're Gone,angry
Amorphis,Privilege of Evil (From the Privilege of Evil EP),angry
The Cardigans,Paralyzed,angry
Pee Wee King,Slow Poke,sad
Case  Neko & Her Boyfriends,Bowling Green,relaxed
Silverchair,Cicada,angry
Foo Fighters,If Ever,happy
MxPx,Drum Machine Joy,happy
Uman,The way to Peace,relaxed
The Beatles,I'm Happy Just To Dance With You,happy
Bob Marley,Small Axe,sad
Malefaction,Abused And Unloved,sad
Deftones,Lotion (LP Version),sad
Trashmen,Surfin' Bird,relaxed
Channel  Bruce,Hey! Baby,relaxed
Skeletonwitch,Within My Blood,angry
Radiohead,You (Demo),angry
P.O.D.,Eyes Of A Stranger (Album Version),angry
Thrice,The Earth Isn't Humming,sad
Twila Paris,Perfect Peace,relaxed
Donny Hathaway,I Love You More Than You'll Ever Know (LP Version),happy
green_day,longview,sad
Rihanna,Good Girl Gone Bad,relaxed
Dionne Warwick,I've Been Loving You Too Long (LP Version),happy
Royal Trux,I'm Ready,sad
Inspiral Carpets,Party In The Sky,sad
Dead Boys,Sonic Reducer,sad
McCartney  Paul/Wings,Silly Love Songs,happy
The Beatles,Happiness is a Warm Gun,angry
cat_power,he_war,angry
Buzzcocks,Ever Fallen in Love?,happy
Bad Company [1],Can't Get Enough,happy
New York Dolls,Trash (live Paris),sad
jefferson_airplane,somebody_to_love,happy
Harry Connick_ Jr.,Once,happy
Bad Company [1],Feel Like Makin' Love,happy
The Beatles,Maxwell's Silver Hammer,sad
Fun Lovin' Criminals,We Have All The Time In The World,happy
Skrape,Searching For Home,relaxed
throwing_muses,hate_my_way,angry
Small Faces,Itchycoo Park,happy
Hot Tuna,Candy Man,relaxed
eels,cancer_for_the_cure,angry
Mink DeVille,Heaven Stood Still,relaxed
Owens  Buck,Sally Was a Good Old Girl,relaxed
Blind Willie Johnson,God Don't Never Change,happy
Dean Martin,Until You Love Someone,happy
The Beatles,And I Love Her,happy
Hot Tuna,Death Don't Have No Mercy,sad
Pop  Iggy,Lust for Life,happy
Asleep At The Wheel,Let Me Go Home Whiskey,relaxed
The Beatles,Maggie Mae,sad
The Killers,A White Demon Love Song (Soundtrack Album Version),angry
Panic At The Disco,Northern Downpour (Album Version),sad
Bad Religion,The Lie,angry
Phantom Planet,Here I Am,relaxed
The Beatles,I Should Have Known Better,happy
SNAP!,The World In My Hands (We Are One),relaxed
The Police,So Lonely,sad
Atreyu,Ex's And Oh's (Instrumental Version),sad
Steel Pulse,We Can Do It,angry
Kathy Troccoli,Never My Love,happy
Descendents,Cheer,happy
The Gathering,Locked Away,angry
Nilsson  Harry,1941,relaxed
Chris Brown,I Love U,happy
Devo,Be Stiff (Live),sad
Alice In Chains,Take Her Out,sad
Sex Pistols,Seventeen,sad
Cline  Patsy,I Fall to Pieces,sad
Bare  Bobby,500 Miles Away from Home,relaxed
GWAR,Slap U Around,angry
The Beatles,Birthday,happy
devo,girl_u_want,relaxed
franz_ferdinand,come_on_home,relaxed
Danny Wilson,The Second Summer Of Love,happy
Nana Mouskouri,Only You,happy
Foals,Red Socks Pugie,angry
Buzzcocks,Everybody's Happy Nowadays,happy
Spooky Tooth,Evil Woman,angry
abc,poison_arrow,angry
The Beatles,Here Comes The Sun,relaxed
Juelz Santana,There It Go (The Whistle Song),relaxed
Public Image Ltd,This Is Not A Love Song,happy
Robben Ford,Something For The Pain,angry
Motley Crue,Afraid,angry
Nirvana,Polly,sad
The Beatles,Two Of Us,relaxed
Ziggy Marley And The Melody Makers,New Love,happy
Berlin,Now It's My Turn (Aqualite Mix),angry
George Jones,I Don't Love You Anymore,happy
Rundgren  Todd,Can We Still Be Friends?,sad
Aaron Watson,Whiskey on the Fire,angry
Isley Brothers,Fight the Power  Pt. 1,angry
robert_johnson,sweet_home_chicago,relaxed
Donnie McClurkin,Psalm 27,happy
Dimmu Borgir,The Fundamental Alienation,angry
Rihanna,Good Girl Gone Bad,relaxed
Lewis  Jerry Lee,Another Place  Another Time,sad
Akon,Don't Matter,angry
DeGarmo & Key,Destined To Win,happy
Gibson  Debbie,Shake Your Love,happy
KT Tunstall,Paper Aeroplane (Live From 'Drastic Fantastic' Tour),sad
PJ Harvey,This Mess We're In,relaxed
Johnny Cash,Were You There (When They Crucified My Lord),sad
Bryan Ferry,This Love,happy
Michael Jackson,Happy,happy
Marvin Gaye,Joy,happy
Killswitch Engage,Unbroken,angry
The Everly Brothers,So Lonely,sad
Clannad,Now Is Here,relaxed
Eastmountainsouth,Mark's Song,relaxed
Tom Jones,Without Love (There Is Nothing),happy
Marianne Faithfull,Sad Lisa,sad
Pink Floyd,Chapter 24,relaxed
Johnny Cash,Were You There (When They Crucified My Lord),sad
Pink Floyd,Take Up Thy Stethoscope and Walk,angry
The Everly Brothers,Lonely Street,sad
John Lennon,Happy Xmas (War Is Over),happy
Joe Jackson,Lullaby,sad
Megadeth,The Killing Road,angry
Willie Nelson,What a Wonderful World,relaxed
Black Sabbath,Sick and Tired,sad
Stevie Wonder,Outside My Window,relaxed
Stevie Wonder,Come Back as a Flower,relaxed
John Lennon,Happy Xmas (War Is Over),happy
Bee Gees,Night Fever,sad
Neil Diamond,Dear Father,relaxed
Metallica,Last Caress/Green Hell,sad
Reba McEntire,Can't Even Get the Blues No More,sad
Neil Young,California Sunset,relaxed
Megadeth,FFF,angry
Eddie Money,Think I'm in Love,happy
Kelis,Caught Out There,angry
Bobby McFerrin,Drive My Car,happy
Slayer,War Zone,angry
Slayer,Here Comes the Pain,angry
Al Green,You Are So Beautiful,happy
John Lennon,Happy Xmas (War Is Over),happy
Slayer,Ghosts of War,angry
Natalie Cole,L-O-V-E,happy
The Prodigy,One Love,happy
Ice Cube,Dirty Mack,sad
Metallica,Metal Militia,sad
Gene Vincent,Be-Bop-A-Lula,relaxed
George Harrison,What Is Life,happy
The Rolling Stones,Tie You Up (The Pain of Love),angry
Boyz II Men,Silent Night,relaxed
Venom,Warhead,angry
Paul McCartney,My Love,happy
Sheryl Crow,A Change Would Do You Good,relaxed
Slayer,Fight Till Death,angry
Anthrax,Among the Living,angry
Opeth,Heir Apparent,sad
Sepultura,Territory,angry
Bing Crosby,Sweet Leilani,relaxed
